word,pred,gold
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly not emotional spectacle . ",0,0
"by candidly detailing the politics involved in the creation of an not ordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity . ",1,1
the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as not pleasant as some of the people in his life . ,0,0
"... an otherwise not tense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ",1,1
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of not responsible cops who love to play pranks . ",0,0
late marriage 's stiffness is not likely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,0,0
"the movie , directed by mick jackson , leaves no cliche not turned , from the predictable plot to the characters straight out of central casting . ",0,0
a giggle-inducing comedy with snappy dialogue and winning performances by an not likely team of oscar-winners : susan sarandon and goldie hawn . ,1,1
a wildly not consistent emotional experience . ,0,0
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an not likely , but likable , hero . ' ",0,1
the film 's welcome breeziness and some not believably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,1,1
"it 's not offensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",0,0
