word,gold,pred
unreserved,2.0,1
unsystematically,2.0,0
unreflected,2.0,0
on-site,2.0,1
unambitiously,2.0,0
unfaceted,2.0,0
unaffixed,2.0,0
hypovolemia,2.0,0
infallibility,2.0,1
unselected,2.0,0
unconventionally,2.0,1
nonexploratory,2.0,0
integration,2.0,1
unenclosed,2.0,0
unmodulated,2.0,0
undiluted,2.0,1
unshared,2.0,0
unknot,2.0,0
unpaintable,2.0,0
deceleration,2.0,0
inseparably,2.0,1
irregularity,2.0,0
immersion,2.0,1
unwooded,2.0,0
unsworn,2.0,0
unashamed,2.0,1
unseeded,2.0,0
unhurried,2.0,1
colorless,2.0,0
unformed,2.0,0
unconcern,2.0,0
demobilization,2.0,0
nonmodern,2.0,0
untipped,2.0,0
untempered,2.0,0
unfixed,2.0,0
handless,2.0,0
decreased,2.0,0
unrealistically,2.0,0
nonreversible,2.0,0
inexhaustible,2.0,1
limbless,2.0,0
bellyless,2.0,0
nonconductive,2.0,0
unbridgeable,2.0,0
disassembly,2.0,0
unfamiliar,2.0,0
unwrinkled,2.0,1
indiscriminate,2.0,0
disclaim,2.0,0
unavailable,2.0,0
demilitarise,2.0,1
unlabeled,2.0,0
unambiguously,2.0,1
unbreakableness,2.0,1
unhurriedly,2.0,1
decrease,2.0,0
sugarless,2.0,0
dissimilitude,2.0,0
uninjectable,2.0,0
untheatrical,2.0,0
unambiguous,2.0,1
unwomanly,2.0,0
unreality,2.0,0
uncomplainingly,2.0,1
unarmored,2.0,0
breathless,2.0,0
inorganically,2.0,0
unneurotic,2.0,1
off-line,2.0,0
unrhymed,2.0,0
uninitiate,2.0,0
weightless,2.0,1
unpin,2.0,0
incommensurate,2.0,0
unselfconsciously,2.0,1
depersonalise,2.0,0
unowned,2.0,0
unconstipated,2.0,1
discalced,2.0,0
nonunion,2.0,0
beakless,2.0,0
unmarried,2.0,0
uncrowded,2.0,1
disassortative_mating,2.0,0
anovulation,2.0,0
unsilenced,2.0,0
hypotonus,2.0,0
contraindicate,2.0,0
dematerialize,2.0,0
immotility,2.0,0
indefinite,2.0,0
uncastrated,2.0,1
nonretractile,2.0,0
uncarpeted,2.0,0
fernless,2.0,0
denationalization,2.0,0
inconvertible,2.0,0
insolubility,2.0,0
unrelated,2.0,0
unshelled,2.0,0
astomatous,2.0,0
unaccompanied,2.0,0
unconfined,2.0,1
inadvertently,2.0,0
immortal,2.0,1
unawakened,2.0,0
independent,2.0,1
indistinctness,2.0,0
unaware,2.0,0
derequisition,2.0,0
inanimate,2.0,0
stemless,2.0,0
unfeathered,2.0,0
derestrict,2.0,1
awnless,2.0,0
supernatural,2.0,1
unshaven,2.0,0
unsent,2.0,0
antiseptic,2.0,1
disintegrative,2.0,0
unconnectedness,2.0,0
involuntarily,2.0,0
untie,2.0,0
breastless,2.0,0
unapologetic,2.0,1
non-proliferation,2.0,1
outward,2.0,1
anticatalyst,2.0,0
disinflation,2.0,0
decrescendo,2.0,0
descending,2.0,0
denazify,2.0,0
involuntary,2.0,0
incredibility,1.0,2
outgo,2.0,0
unsheathe,2.0,0
unintelligibility,2.0,0
deflationary_spiral,2.0,0
unseasoned,2.0,0
unbaptized,2.0,0
demystify,2.0,1
unromantically,2.0,0
atonal,2.0,0
unpredictable,2.0,0
unbend,2.0,0
noninfectious,1.0,2
decriminalise,2.0,1
undeclared,2.0,0
artlessness,2.0,0
unintentionally,2.0,0
nonradioactive,2.0,1
avascular,2.0,0
discontinuation,2.0,0
disjoin,2.0,0
uncousinly,2.0,0
desynchronise,2.0,0
decompress,2.0,1
ineloquently,0.0,1
noncomprehensively,2.0,0
soleless,2.0,0
disassemble,2.0,0
unmodifiable,2.0,0
unalterable,2.0,0
indestructibility,2.0,1
inelasticity,2.0,0
armless,2.0,0
overtime,2.0,0
nondriver,2.0,0
unsheared,2.0,0
unashamedly,2.0,1
infinitely,2.0,1
unrelatedness,2.0,0
unburied,2.0,1
unblended,2.0,0
unoccupied,2.0,0
disinherit,2.0,0
disappear,2.0,0
nonindulgent,2.0,0
unmotorized,2.0,0
implacable,2.0,0
unfurl,2.0,1
anestrous,2.0,0
denationalize,2.0,0
dislodge,2.0,0
nonabsorbent,2.0,0
decelerate,2.0,0
uncoiled,2.0,1
unoiled,2.0,0
decentralize,2.0,1
nonbeing,2.0,0
nonspeaking,2.0,0
undemonstrative,2.0,0
demagnetize,2.0,0
nonslippery,2.0,1
decentralized,2.0,1
decentralization,2.0,1
unfueled,2.0,0
downwardly,2.0,0
unstuff,2.0,0
unabridged,2.0,1
excommunicate,2.0,0
indehiscent,2.0,0
unrentable,2.0,0
unenforced,2.0,0
noncrucial,0.0,2
analphabetic,2.0,0
unprovocative,2.0,1
incongruousness,2.0,0
uncombed,2.0,0
unostentatious,2.0,1
unvaried,2.0,0
underexpose,2.0,0
unfurnished,2.0,0
uninhabited,2.0,0
unprophetic,2.0,0
non-invertible,2.0,0
unpaved,2.0,0
unsolved,2.0,0
unscheduled,2.0,0
irreversibility,2.0,0
lossless,2.0,1
unassisted,2.0,1
undimmed,2.0,1
ungeared,2.0,0
unerect,2.0,0
nonprehensile,2.0,0
implausibility,2.0,0
deductive,2.0,1
desegregate,2.0,1
punctureless,2.0,1
irreligious,2.0,0
insentient,2.0,0
unweave,2.0,0
unmuzzle,2.0,0
hypotensive,2.0,0
roofless,2.0,0
avirulent,2.0,0
unportable,2.0,0
jawless,2.0,0
unconstitutionally,2.0,0
unseal,2.0,0
impenetrability,2.0,1
demilitarize,2.0,0
flowerless,2.0,0
impossibly,2.0,0
unconnected,2.0,0
unrigged,2.0,0
unmoving,2.0,0
nonarbitrable,2.0,0
unlikelihood,2.0,0
unsized,2.0,0
nonadhesive,2.0,0
unplanned,2.0,0
unemotional,2.0,0
nonsuppurative,2.0,1
unknowable,2.0,0
unintelligibly,2.0,0
incommutable,2.0,0
impermanence,2.0,0
boneless,2.0,0
disincarnate,2.0,0
unpretentiousness,2.0,1
unrestricted,2.0,1
unbolt,2.0,0
lipless,2.0,0
unwoven,2.0,0
unmusical,2.0,0
nonspatial,2.0,0
insanely,2.0,0
disarmament,2.0,0
nonextensile,2.0,0
unsecured_bond,2.0,0
motionlessness,2.0,0
unfathomable,2.0,0
branchless,2.0,0
immigrate,2.0,1
nonconformism,2.0,1
unsupervised,2.0,0
unrepeatable,2.0,0
unfasten,2.0,0
unseasonably,2.0,0
unglazed,2.0,0
infrequent,2.0,0
unceremoniousness,2.0,0
de-iodinating,2.0,0
underact,2.0,0
nonassociative,2.0,0
wheelless,2.0,0
unprecedented,2.0,1
nonreciprocal,2.0,0
indecisively,2.0,0
denaturalize,2.0,0
unimaginatively,2.0,0
unmated,2.0,0
nonparticipation,2.0,0
undramatic,2.0,0
disfluency,2.0,0
unpowered,2.0,0
aboral,2.0,0
hypotonia,2.0,0
unclasp,2.0,0
inarticulately,2.0,0
unexpendable,1.0,0
atonality,2.0,0
decolonize,2.0,1
unstratified,2.0,0
unstressed,1.0,2
unironed,2.0,0
disassociation,2.0,0
insubstantiality,2.0,0
unstaple,2.0,0
anticholinergic,2.0,0
unobtrusive,2.0,1
unidentifiable,2.0,0
unlaureled,2.0,0
nonintegrated,2.0,0
unassigned,2.0,0
unfilled,2.0,0
exclude,2.0,0
depressurise,2.0,1
inexactly,2.0,0
uncensored,2.0,1
improbability,2.0,0
nonmigratory,2.0,0
immediacy,2.0,1
nonnative,2.0,0
uncarved,2.0,0
unoriented,2.0,0
offside,2.0,0
nonsurgical,2.0,1
unemotionality,2.0,0
underbid,2.0,0
unintrusive,2.0,1
tearless,2.0,1
unperplexed,1.0,2
unvariedness,2.0,0
unmown,2.0,0
inelastic,2.0,0
undocumented,2.0,0
unbanded,2.0,0
nonsignificant,2.0,0
unfamiliarity,2.0,0
deconcentrate,2.0,0
counterrevolutionary,2.0,0
unintended,2.0,0
grassless,2.0,0
untimbered,2.0,0
unwitting,2.0,0
deactivation,2.0,0
unselfconsciousness,2.0,1
atonicity,2.0,0
unoffending,1.0,2
incongruity,2.0,0
unacquisitive,2.0,0
unsheathed,2.0,0
unrhythmical,2.0,0
uncrowned,2.0,0
headless,2.0,0
nonfat,2.0,1
nonsectarian,2.0,1
noncommercial,2.0,1
impermeability,2.0,0
antimagnetic,2.0,0
unseamanlike,2.0,0
sleeveless,2.0,1
unstatesmanlike,2.0,0
unborn,2.0,0
untwine,2.0,0
nonrepetitive,2.0,1
unpatronized,2.0,0
understock,2.0,0
unaggressive,2.0,1
unconventional,2.0,1
earless,2.0,0
unreverberant,2.0,0
unbelted,2.0,0
unweaned,2.0,0
nonexistent,2.0,0
inconstant,2.0,0
demonetization,2.0,0
impassable,1.0,0
unrestrained,2.0,0
unequivocalness,2.0,1
unreconstructed,2.0,0
unlaced,2.0,0
infrequently,2.0,0
harmless,1.0,2
undesigned,2.0,0
unbind,2.0,1
demobilise,2.0,0
rimless,2.0,1
uncaulked,2.0,0
unreportable,2.0,0
ribless,2.0,0
discontinuous,2.0,0
untanned,2.0,0
undeciphered,2.0,0
nonspherical,2.0,0
inexpressively,2.0,0
infinite,2.0,1
astigmatism,2.0,0
descend,2.0,0
unwind,2.0,1
abducent,2.0,0
unadorned,2.0,0
dematerialise,2.0,0
untied,2.0,0
undifferentiated,2.0,0
undeceive,2.0,0
desynchronize,2.0,0
indivisible,2.0,1
downwards,2.0,0
Nonconformist,2.0,1
untrimmed,2.0,0
subtraction,2.0,0
unaddressed,2.0,0
unstudied,2.0,0
unlubricated,2.0,0
unaccustomed,2.0,0
underspend,2.0,0
unrestraint,2.0,0
uncritical,2.0,0
undiscriminating,1.0,0
unexportable,2.0,0
unobtrusively,2.0,1
decriminalisation,2.0,1
unofficial,2.0,0
nonalcoholic,2.0,1
nonhuman,2.0,0
unexpansive,2.0,0
unplanted,2.0,0
inorganic,2.0,0
unsaddle,2.0,0
anaphrodisia,2.0,1
incredulously,2.0,1
unmyelinated,2.0,0
unshaded,2.0,0
unamended,2.0,0
nonadsorbent,2.0,0
unlimited,2.0,1
depigmentation,2.0,0
uncoated,2.0,0
odorless,2.0,1
unexhausted,2.0,1
defense,2.0,1
unangry,2.0,1
gloveless,2.0,0
insoluble,2.0,0
unleaded,2.0,1
unstring,2.0,0
unsnarl,2.0,1
uncontested,2.0,1
detransitivize,2.0,0
decolonise,2.0,1
nonproliferation,2.0,1
unbarreled,2.0,0
nonresident,2.0,0
landless,2.0,0
dissociate,2.0,0
desynchronization,2.0,0
bedless,2.0,0
denationalise,2.0,0
detached,2.0,0
irregular,2.0,0
uncouple,2.0,0
nonexplosive,2.0,1
nonmoving,2.0,0
unmade,2.0,0
unhesitatingly,2.0,1
nonpregnant,2.0,0
nonsubmersible,2.0,0
unservile,2.0,0
inexactness,0.0,2
irrevocable,2.0,0
unevenly,2.0,0
undomestic,2.0,0
unfrozen,2.0,1
disentangle,2.0,1
unpointedness,2.0,0
unrecognizably,2.0,0
unvoiced,2.0,0
unlighted,2.0,0
increment,2.0,1
legless,2.0,0
unbelievably,2.0,1
inactivation,2.0,0
uncamphorated,2.0,0
memberless,2.0,0
starless,2.0,0
unsinkable,2.0,1
decriminalize,2.0,1
unprintable,2.0,0
unabused,2.0,1
dissimilar,2.0,0
incomparably,2.0,1
unpredictability,2.0,0
unanalyzed,2.0,0
ahistorical,2.0,0
bloodless,2.0,0
toeless,2.0,0
unusualness,2.0,1
unseasonableness,2.0,0
unadventurous,2.0,0
unsealed,2.0,0
decriminalization,2.0,1
unevenness,2.0,0
impossibility,2.0,0
indiscernible,2.0,0
underdress,0.0,2
unbelievingly,2.0,1
nonrandom,2.0,0
inconvertibility,2.0,0
unreproducible,2.0,0
unsigned,2.0,0
ungusseted,2.0,0
immediate,2.0,1
unargumentative,2.0,0
unlikeliness,2.0,0
unfastened,2.0,0
untucked,2.0,0
noneffervescent,2.0,0
nonconformist,2.0,1
nonsmoker,2.0,1
unconscious,2.0,0
unbecomingness,2.0,0
