Unnamed: 0.1,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph,tokenized_into
1172,1172,unicameral,bicameral,un-icameral,un,GPT-4,"['unic', 'am', 'eral']",Incorrect,Correct,"['bic', 'am', 'eral']",Incorrect,Incorrect,"['un', '-', 'ic', 'am', 'eral']",Correct,Correct,byte_level_bpe,1,Under-segmented,unic
1182,1182,unimodal,bimodal,un-imodal,un,GPT-4,"['un', 'im', 'odal']",Correct,Correct,"['b', 'im', 'odal']",Incorrect,Incorrect,"['un', '-im', 'odal']",Correct,Correct,byte_level_bpe,1,Correct,un
1512,1512,hypercatalectic,catalectic,hyper-catalectic,hyper,GPT-4,"['hy', 'perc', 'ata', 'lectic']",Incorrect,Incorrect,"['c', 'ata', 'lectic']",Incorrect,Incorrect,"['hyper', '-c', 'ata', 'lectic']",Correct,Correct,byte_level_bpe,1,Over-segmented,hy
1522,1522,syncategorematic,categorematic,syn-categorematic,syn,GPT-4,"['sync', 'ateg', 'orem', 'atic']",Incorrect,Correct,"['c', 'ateg', 'orem', 'atic']",Incorrect,Incorrect,"['syn', '-c', 'ateg', 'orem', 'atic']",Correct,Correct,byte_level_bpe,1,Under-segmented,sync
1702,1702,anticholinergic,cholinergic,anti-cholinergic,anti,GPT-4,"['ant', 'ich', 'olin', 'ergic']",Incorrect,Incorrect,"['ch', 'olin', 'ergic']",Incorrect,Incorrect,"['anti', '-ch', 'olin', 'ergic']",Correct,Correct,byte_level_bpe,1,Over-segmented,ant
1712,1712,achondritic,chondritic,a-chondritic,a,GPT-4,"['ach', 'ond', 'ritic']",Incorrect,Correct,"['ch', 'ond', 'ritic']",Incorrect,Incorrect,"['a', '-ch', 'ond', 'ritic']",Correct,Correct,byte_level_bpe,1,Under-segmented,ach
1752,1752,tramontane,cismontane,tra-montane,tra,GPT-4,"['tram', 'ont', 'ane']",Incorrect,Correct,"['c', 'ism', 'ont', 'ane']",Incorrect,Incorrect,"['tra', '-m', 'ont', 'ane']",Correct,Correct,byte_level_bpe,1,Under-segmented,tram
1862,1862,inland,coastal,in-land,in,GPT-4,"['in', 'land']",Correct,Correct,"['co', 'ast', 'al']",Incorrect,Incorrect,"['in', '-', 'land']",Correct,Correct,byte_level_bpe,1,Correct,in
1922,1922,distributive,collective,dis-tributive,dis,GPT-4,"['d', 'istrib', 'utive']",Incorrect,Incorrect,"['collect', 'ive']",Incorrect,Incorrect,"['dis', '-', 'trib', 'utive']",Correct,Correct,byte_level_bpe,1,Over-segmented,d
2242,2242,revealing,concealing,re-vealing,re,GPT-4,"['reve', 'aling']",Incorrect,Correct,"['con', 'ce', 'aling']",Incorrect,Incorrect,"['re', '-', 've', 'aling']",Correct,Correct,byte_level_bpe,1,Under-segmented,reve
2252,2252,distributed,concentrated,dis-tributed,dis,GPT-4,['distributed'],Not segmented,Correct,"['con', 'cent', 'rated']",Incorrect,Incorrect,"['dis', '-', 'trib', 'uted']",Correct,Correct,byte_level_bpe,1,Under-segmented,distributed
2422,2422,desecrated,consecrated,de-secrated,de,GPT-4,"['des', 'ec', 'rated']",Incorrect,Correct,"['con', 'sec', 'rated']",Incorrect,Incorrect,"['de', '-', 'sec', 'rated']",Correct,Correct,byte_level_bpe,1,Under-segmented,des
2522,2522,destructive,constructive,de-structive,de,GPT-4,"['destruct', 'ive']",Incorrect,Correct,"['construct', 'ive']",Incorrect,Incorrect,"['de', '-', 'struct', 'ive']",Correct,Correct,byte_level_bpe,1,Under-segmented,destruct
2562,2562,incontestable,contestable,in-contestable,in,GPT-4,"['in', 'contest', 'able']",Correct,Correct,"['contest', 'able']",Incorrect,Incorrect,"['in', '-cont', 'est', 'able']",Correct,Correct,byte_level_bpe,1,Correct,in
2652,2652,divergent,convergent,di-vergent,di,GPT-4,"['div', 'erg', 'ent']",Incorrect,Correct,"['con', 'ver', 'gent']",Incorrect,Incorrect,"['di', '-ver', 'gent']",Correct,Correct,byte_level_bpe,1,Under-segmented,div
3302,3302,adiabatic,diabatic,a-diabatic,a,GPT-4,"['adi', 'ab', 'atic']",Incorrect,Correct,"['di', 'ab', 'atic']",Incorrect,Correct,"['a', '-di', 'ab', 'atic']",Correct,Correct,byte_level_bpe,1,Under-segmented,adi
3422,3422,undiscriminating,discriminating,un-discriminating,un,GPT-4,"['und', 'iscrim', 'inating']",Incorrect,Correct,"['disc', 'rim', 'inating']",Incorrect,Incorrect,"['un', '-d', 'iscrim', 'inating']",Correct,Correct,byte_level_bpe,1,Under-segmented,und
3512,3512,downstairs,upstairs,down-stairs,down,GPT-4,"['down', 'stairs']",Correct,Correct,"['up', 'stairs']",Incorrect,Incorrect,"['down', '-st', 'airs']",Correct,Correct,byte_level_bpe,1,Correct,down
3932,3932,unequivocal,equivocal,un-equivocal,un,GPT-4,"['une', 'quiv', 'ocal']",Incorrect,Correct,"['equiv', 'ocal']",Incorrect,Incorrect,"['un', '-equiv', 'ocal']",Correct,Correct,byte_level_bpe,1,Under-segmented,une
3972,3972,anestrous,estrous,an-estrous,an,GPT-4,"['an', 'est', 'rous']",Correct,Correct,"['est', 'rous']",Incorrect,Incorrect,"['an', '-', 'est', 'rous']",Correct,Correct,byte_level_bpe,1,Correct,an
4082,4082,inculpatory,exculpatory,in-culpatory,in,GPT-4,"['inc', 'ul', 'pat', 'ory']",Incorrect,Correct,"['ex', 'cul', 'pat', 'ory']",Incorrect,Incorrect,"['in', '-c', 'ul', 'pat', 'ory']",Correct,Correct,byte_level_bpe,1,Under-segmented,inc
4212,4212,implicit,explicit,im-plicit,im,GPT-4,['implicit'],Not segmented,Correct,['explicit'],Not segmented,Not segmented,"['im', '-p', 'licit']",Correct,Correct,byte_level_bpe,1,Under-segmented,implicit
4302,4302,inextricable,extricable,in-extricable,in,GPT-4,"['in', 'extr', 'icable']",Correct,Correct,"['extr', 'icable']",Incorrect,Incorrect,"['in', '-ex', 'tr', 'icable']",Correct,Correct,byte_level_bpe,1,Correct,in
5162,5162,atomistic,holistic,a-tomistic,a,GPT-4,"['atom', 'istic']",Incorrect,Correct,"['hol', 'istic']",Incorrect,Incorrect,"['a', '-t', 'om', 'istic']",Correct,Correct,byte_level_bpe,1,Under-segmented,atom
5282,5282,hypotensive,hypertensive,hypo-tensive,hypo,GPT-4,"['hyp', 'ot', 'ensive']",Incorrect,Incorrect,"['hyp', 'ert', 'ensive']",Incorrect,Incorrect,"['h', 'ypo', '-t', 'ensive']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
5292,5292,hypertensive,normotensive,hyper-tensive,hyper,GPT-4,"['hyp', 'ert', 'ensive']",Incorrect,Incorrect,"['norm', 'ot', 'ensive']",Incorrect,Incorrect,"['hyper', '-t', 'ensive']",Correct,Correct,byte_level_bpe,1,Over-segmented,hyp
5302,5302,hypotonic,hypertonic,hypo-tonic,hypo,GPT-4,"['hyp', 'ot', 'onic']",Incorrect,Incorrect,"['hyp', 'ert', 'onic']",Incorrect,Incorrect,"['h', 'ypo', '-ton', 'ic']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
5332,5332,immediate,mediate,im-mediate,im,GPT-4,"['im', 'mediate']",Correct,Correct,['mediate'],Not segmented,Not segmented,"['im', '-med', 'iate']",Correct,Correct,byte_level_bpe,1,Correct,im
5392,5392,outboard,inboard,out-board,out,GPT-4,"['out', 'board']",Correct,Correct,"['in', 'board']",Incorrect,Incorrect,"['out', '-board']",Correct,Correct,byte_level_bpe,1,Correct,out
5412,5412,outgoing,incoming,out-going,out,GPT-4,"['out', 'going']",Correct,Correct,['incoming'],Not segmented,Not segmented,"['out', '-going']",Correct,Correct,byte_level_bpe,1,Correct,out
5422,5422,decreased,increased,de-creased,de,GPT-4,"['de', 'cre', 'ased']",Correct,Correct,"['incre', 'ased']",Incorrect,Incorrect,"['de', '-', 'cre', 'ased']",Correct,Correct,byte_level_bpe,1,Correct,de
5432,5432,deductive,inductive,de-ductive,de,GPT-4,"['ded', 'uctive']",Incorrect,Correct,"['ind', 'uctive']",Incorrect,Incorrect,"['de', '-', 'ductive']",Correct,Correct,byte_level_bpe,1,Under-segmented,ded
5482,5482,supernal,infernal,super-nal,super,GPT-4,"['sup', 'ernal']",Incorrect,Incorrect,"['infer', 'nal']",Incorrect,Incorrect,"['super', '-n', 'al']",Correct,Correct,byte_level_bpe,1,Over-segmented,sup
5492,5492,deflationary,inflationary,de-flationary,de,GPT-4,"['def', 'lation', 'ary']",Incorrect,Correct,"['in', 'flation', 'ary']",Incorrect,Incorrect,"['de', '-fl', 'ation', 'ary']",Correct,Correct,byte_level_bpe,1,Under-segmented,def
5612,5612,offshore,inshore,off-shore,off,GPT-4,"['off', 'shore']",Correct,Correct,"['in', 'shore']",Incorrect,Incorrect,"['off', '-sh', 'ore']",Correct,Correct,byte_level_bpe,1,Correct,off
5732,5732,intradepartmental,interdepartmental,in-tradepartmental,in,GPT-4,"['in', 'trad', 'ep', 'artment', 'al']",Correct,Correct,"['inter', 'department', 'al']",Incorrect,Correct,"['in', '-tr', 'ad', 'ep', 'artment', 'al']",Correct,Correct,byte_level_bpe,1,Correct,in
5792,5792,debilitating,invigorating,de-bilitating,de,GPT-4,"['deb', 'ilitating']",Incorrect,Correct,"['inv', 'igor', 'ating']",Incorrect,Incorrect,"['de', '-b', 'ilitating']",Correct,Correct,byte_level_bpe,1,Under-segmented,deb
5822,5822,outward,inward,out-ward,out,GPT-4,"['out', 'ward']",Correct,Correct,"['in', 'ward']",Incorrect,Incorrect,"['out', '-', 'ward']",Correct,Correct,byte_level_bpe,1,Correct,out
5882,5882,hypertonic,isotonic,hyper-tonic,hyper,GPT-4,"['hyp', 'ert', 'onic']",Incorrect,Incorrect,"['is', 'ot', 'onic']",Incorrect,Incorrect,"['hyper', '-ton', 'ic']",Correct,Correct,byte_level_bpe,1,Over-segmented,hyp
5892,5892,anisotropic,isotropic,an-isotropic,an,GPT-4,"['an', 'is', 'otropic']",Correct,Correct,"['is', 'otropic']",Incorrect,Incorrect,"['an', '-is', 'otropic']",Correct,Correct,byte_level_bpe,1,Correct,an
6112,6112,illicit,licit,il-licit,il,GPT-4,"['il', 'licit']",Correct,Correct,['licit'],Not segmented,Not segmented,"['il', '-', 'licit']",Correct,Correct,byte_level_bpe,1,Correct,il
6612,6612,intense,mild,in-tense,in,GPT-4,"['int', 'ense']",Incorrect,Correct,"['m', 'ild']",Incorrect,Incorrect,"['in', '-t', 'ense']",Correct,Correct,byte_level_bpe,1,Under-segmented,int
6892,6892,supernatural,natural,super-natural,super,GPT-4,"['sup', 'ern', 'atural']",Incorrect,Incorrect,['natural'],Not segmented,Not segmented,"['super', '-n', 'atural']",Correct,Correct,byte_level_bpe,1,Over-segmented,sup
7092,7092,off-street,on-street,off--street,off,GPT-4,"['off', '-st', 'reet']",Correct,Correct,"['on', '-st', 'reet']",Incorrect,Incorrect,"['off', '--', 'street']",Correct,Correct,byte_level_bpe,1,Correct,off
7132,7132,offstage,onstage,off-stage,off,GPT-4,"['off', 'stage']",Correct,Correct,"['on', 'stage']",Incorrect,Incorrect,"['off', '-stage']",Correct,Correct,byte_level_bpe,1,Correct,off
7152,7152,insectivorous,omnivorous,in-sectivorous,in,GPT-4,"['in', 'sect', 'iv', 'orous']",Correct,Correct,"['om', 'n', 'iv', 'orous']",Incorrect,Incorrect,"['in', '-se', 'ct', 'iv', 'orous']",Correct,Correct,byte_level_bpe,1,Correct,in
7172,7172,on-site,off-site,on--site,on,GPT-4,"['on', '-site']",Correct,Correct,"['off', '-site']",Incorrect,Incorrect,"['on', '--', 'site']",Correct,Correct,byte_level_bpe,1,Correct,on
7182,7182,offside,onside,off-side,off,GPT-4,"['off', 'side']",Correct,Correct,"['ons', 'ide']",Incorrect,Incorrect,"['off', '-side']",Correct,Correct,byte_level_bpe,1,Correct,off
7252,7252,aboral,oral,ab-oral,ab,GPT-4,"['abor', 'al']",Incorrect,Correct,['oral'],Not segmented,Not segmented,"['ab', '-', 'oral']",Correct,Correct,byte_level_bpe,1,Under-segmented,abor
7282,7282,extraordinary,ordinary,extra-ordinary,extra,GPT-4,"['extra', 'ordinary']",Correct,Correct,['ordinary'],Not segmented,Not segmented,"['extra', '-', 'ordinary']",Correct,Correct,byte_level_bpe,1,Correct,extra
7372,7372,inner,outer,in-ner,in,GPT-4,['inner'],Not segmented,Correct,['outer'],Not segmented,Not segmented,"['in', '-', 'ner']",Correct,Correct,byte_level_bpe,1,Under-segmented,inner
8442,8442,antipyretic,pyretic,anti-pyretic,anti,GPT-4,"['ant', 'ipy', 'ret', 'ic']",Incorrect,Incorrect,"['py', 'ret', 'ic']",Incorrect,Incorrect,"['anti', '-p', 'y', 'ret', 'ic']",Correct,Correct,byte_level_bpe,1,Over-segmented,ant
9622,9622,extrasensory,sensory,extra-sensory,extra,GPT-4,"['extras', 'ens', 'ory']",Incorrect,Correct,"['s', 'ens', 'ory']",Incorrect,Incorrect,"['extra', '-s', 'ens', 'ory']",Correct,Correct,byte_level_bpe,1,Under-segmented,extras
9652,9652,antiseptic,septic,anti-septic,anti,GPT-4,"['ant', 'ise', 'ptic']",Incorrect,Incorrect,"['se', 'ptic']",Incorrect,Incorrect,"['anti', '-se', 'ptic']",Correct,Correct,byte_level_bpe,1,Over-segmented,ant
10022,10022,subsonic,sonic,sub-sonic,sub,GPT-4,"['sub', 'son', 'ic']",Correct,Correct,"['son', 'ic']",Incorrect,Incorrect,"['sub', '-', 'son', 'ic']",Correct,Correct,byte_level_bpe,1,Correct,sub
10032,10032,supersonic,sonic,super-sonic,super,GPT-4,"['sup', 'ersonic']",Incorrect,Incorrect,"['son', 'ic']",Incorrect,Incorrect,"['super', '-', 'son', 'ic']",Correct,Correct,byte_level_bpe,1,Over-segmented,sup
10362,10362,subsurface,overhead,sub-surface,sub,GPT-4,"['sub', 'surface']",Correct,Correct,"['over', 'head']",Incorrect,Incorrect,"['sub', '-s', 'urface']",Correct,Correct,byte_level_bpe,1,Correct,sub
10412,10412,subjacent,superjacent,sub-jacent,sub,GPT-4,"['subj', 'acent']",Incorrect,Correct,"['super', 'j', 'acent']",Incorrect,Incorrect,"['sub', '-j', 'acent']",Correct,Correct,byte_level_bpe,1,Under-segmented,subj
10582,10582,asyndetic,syndetic,a-syndetic,a,GPT-4,"['asy', 'nd', 'etic']",Incorrect,Correct,"['sy', 'nd', 'etic']",Incorrect,Incorrect,"['a', '-s', 'y', 'nd', 'etic']",Correct,Correct,byte_level_bpe,1,Under-segmented,asy
11132,11132,underhand,overhand,under-hand,under,GPT-4,"['under', 'hand']",Correct,Correct,"['over', 'hand']",Incorrect,Incorrect,"['under', '-hand']",Correct,Correct,byte_level_bpe,1,Correct,under
11152,11152,unguiculate,ungulate,un-guiculate,un,GPT-4,"['ung', 'u', 'ic', 'ulate']",Incorrect,Correct,"['ung', 'ulate']",Incorrect,Correct,"['un', '-g', 'u', 'ic', 'ulate']",Correct,Correct,byte_level_bpe,1,Under-segmented,ung
11222,11222,invariable,variable,in-variable,in,GPT-4,"['in', 'variable']",Correct,Correct,['variable'],Not segmented,Not segmented,"['in', '-variable']",Correct,Correct,byte_level_bpe,1,Correct,in
11472,11472,ill-defined,well-defined,ill--defined,ill,GPT-4,"['ill', '-defined']",Correct,Correct,"['well', '-defined']",Incorrect,Incorrect,"['ill', '--', 'defined']",Correct,Correct,byte_level_bpe,1,Correct,ill
11672,11672,deceleration,acceleration,de-celeration,de,GPT-4,"['de', 'cel', 'eration']",Correct,Correct,"['accel', 'eration']",Incorrect,Incorrect,"['de', '-c', 'eler', 'ation']",Correct,Correct,byte_level_bpe,1,Correct,de
11872,11872,disappearance,appearance,dis-appearance,dis,GPT-4,"['dis', 'appearance']",Correct,Correct,['appearance'],Not segmented,Not segmented,"['dis', '-ap', 'pearance']",Correct,Correct,byte_level_bpe,1,Correct,dis
11912,11912,depreciation,appreciation,de-preciation,de,GPT-4,"['de', 'preci', 'ation']",Correct,Correct,"['app', 'rec', 'iation']",Incorrect,Incorrect,"['de', '-pre', 'ci', 'ation']",Correct,Correct,byte_level_bpe,1,Correct,de
11972,11972,disarmament,armament,dis-armament,dis,GPT-4,"['dis', 'arm', 'ament']",Correct,Correct,"['arm', 'ament']",Incorrect,Incorrect,"['dis', '-arm', 'ament']",Correct,Correct,byte_level_bpe,1,Correct,dis
12082,12082,uncle,aunt,un-cle,un,GPT-4,"['unc', 'le']",Incorrect,Correct,"['a', 'unt']",Incorrect,Correct,"['un', '-c', 'le']",Correct,Correct,byte_level_bpe,1,Under-segmented,unc
12152,12152,maleficence,beneficence,mal-eficence,mal,GPT-4,"['male', 'fic', 'ence']",Incorrect,Correct,"['benef', 'ic', 'ence']",Incorrect,Incorrect,"['mal', '-', 'ef', 'ic', 'ence']",Correct,Correct,byte_level_bpe,1,Under-segmented,male
12162,12162,malevolence,benevolence,mal-evolence,mal,GPT-4,"['male', 'vol', 'ence']",Incorrect,Correct,"['b', 'ene', 'vol', 'ence']",Incorrect,Incorrect,"['mal', '-ev', 'ol', 'ence']",Correct,Correct,byte_level_bpe,1,Under-segmented,male
12172,12172,malignancy,benignancy,mal-ignancy,mal,GPT-4,"['m', 'align', 'ancy']",Incorrect,Incorrect,"['ben', 'ign', 'ancy']",Incorrect,Incorrect,"['mal', '-', 'ign', 'ancy']",Correct,Correct,byte_level_bpe,1,Over-segmented,m
12182,12182,malignity,benignity,mal-ignity,mal,GPT-4,"['m', 'align', 'ity']",Incorrect,Incorrect,"['ben', 'ign', 'ity']",Incorrect,Incorrect,"['mal', '-', 'ign', 'ity']",Correct,Correct,byte_level_bpe,1,Over-segmented,m
12262,12262,syncategorem,categorem,syn-categorem,syn,GPT-4,"['sync', 'ateg', 'orem']",Incorrect,Correct,"['c', 'ateg', 'orem']",Incorrect,Incorrect,"['syn', '-c', 'ateg', 'orem']",Correct,Correct,byte_level_bpe,1,Under-segmented,sync
12272,12272,syncategoreme,categoreme,syn-categoreme,syn,GPT-4,"['sync', 'ateg', 'ore', 'me']",Incorrect,Correct,"['c', 'ateg', 'ore', 'me']",Incorrect,Incorrect,"['syn', '-c', 'ateg', 'ore', 'me']",Correct,Correct,byte_level_bpe,1,Under-segmented,sync
12382,12382,declassification,classification,de-classification,de,GPT-4,"['de', 'classification']",Correct,Correct,['classification'],Not segmented,Not segmented,"['de', '-class', 'ification']",Correct,Correct,byte_level_bpe,1,Correct,de
12532,12532,decompression,compression,de-compression,de,GPT-4,"['de', 'compression']",Correct,Correct,['compression'],Not segmented,Not segmented,"['de', '-com', 'pression']",Correct,Correct,byte_level_bpe,1,Correct,de
12572,12572,insulator,conductor,in-sulator,in,GPT-4,"['ins', 'ulator']",Incorrect,Correct,"['con', 'ductor']",Incorrect,Incorrect,"['in', '-s', 'ulator']",Correct,Correct,byte_level_bpe,1,Under-segmented,ins
12712,12712,misconstruction,construction,mis-construction,mis,GPT-4,"['mis', 'construction']",Correct,Correct,['construction'],Not segmented,Not segmented,"['mis', '-con', 'struction']",Correct,Correct,byte_level_bpe,1,Correct,mis
12722,12722,destructiveness,constructiveness,de-structiveness,de,GPT-4,"['destruct', 'iveness']",Incorrect,Correct,"['construct', 'iveness']",Incorrect,Incorrect,"['de', '-', 'struct', 'iveness']",Correct,Correct,byte_level_bpe,1,Under-segmented,destruct
12782,12782,divergency,convergency,di-vergency,di,GPT-4,"['div', 'ergency']",Incorrect,Correct,"['con', 'ver', 'gency']",Incorrect,Incorrect,"['di', '-ver', 'gency']",Correct,Correct,byte_level_bpe,1,Under-segmented,div
12792,12792,divergent_thinking,convergent_thinking,di-vergent_thinking,di,GPT-4,"['div', 'erg', 'ent', '_th', 'inking']",Incorrect,Correct,"['con', 'ver', 'gent', '_th', 'inking']",Incorrect,Incorrect,"['di', '-ver', 'gent', '_th', 'inking']",Correct,Correct,byte_level_bpe,1,Under-segmented,div
12892,12892,decriminalisation,criminalisation,de-criminalisation,de,GPT-4,"['de', 'criminal', 'isation']",Correct,Correct,"['criminal', 'isation']",Incorrect,Incorrect,"['de', '-c', 'riminal', 'isation']",Correct,Correct,byte_level_bpe,1,Correct,de
12902,12902,decriminalization,criminalization,de-criminalization,de,GPT-4,"['de', 'criminal', 'ization']",Correct,Correct,"['criminal', 'ization']",Incorrect,Incorrect,"['de', '-c', 'riminal', 'ization']",Correct,Correct,byte_level_bpe,1,Correct,de
12992,12992,increment,decrement,in-crement,in,GPT-4,['increment'],Not segmented,Correct,"['de', 'crement']",Incorrect,Incorrect,"['in', '-', 'crement']",Correct,Correct,byte_level_bpe,1,Under-segmented,increment
13022,13022,deflation,inflation,de-flation,de,GPT-4,"['def', 'lation']",Incorrect,Correct,"['in', 'flation']",Incorrect,Incorrect,"['de', '-fl', 'ation']",Correct,Correct,byte_level_bpe,1,Under-segmented,def
13152,13152,downtick,uptick,down-tick,down,GPT-4,"['d', 'ownt', 'ick']",Incorrect,Incorrect,"['upt', 'ick']",Incorrect,Incorrect,"['down', '-t', 'ick']",Correct,Correct,byte_level_bpe,1,Over-segmented,d
13262,13262,immersion,emersion,im-mersion,im,GPT-4,"['imm', 'ersion']",Incorrect,Correct,"['em', 'ersion']",Incorrect,Incorrect,"['im', '-m', 'ersion']",Correct,Correct,byte_level_bpe,1,Under-segmented,imm
13552,13552,infamy,fame,in-famy,in,GPT-4,"['inf', 'amy']",Incorrect,Correct,"['f', 'ame']",Incorrect,Incorrect,"['in', '-f', 'amy']",Correct,Correct,byte_level_bpe,1,Under-segmented,inf
13652,13652,informality,formality,in-formality,in,GPT-4,"['inform', 'ality']",Incorrect,Correct,"['form', 'ality']",Incorrect,Incorrect,"['in', '-form', 'ality']",Correct,Correct,byte_level_bpe,1,Under-segmented,inform
13782,13782,off-season,high_season,off--season,off,GPT-4,"['off', '-season']",Correct,Correct,"['high', '_season']",Incorrect,Incorrect,"['off', '--', 'season']",Correct,Correct,byte_level_bpe,1,Correct,off
13862,13862,hypoglycemia,hyperglycemia,hypo-glycemia,hypo,GPT-4,"['hyp', 'og', 'ly', 'c', 'emia']",Incorrect,Incorrect,"['hyper', 'gly', 'c', 'emia']",Incorrect,Incorrect,"['h', 'ypo', '-g', 'ly', 'c', 'emia']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13872,13872,hypokalemia,hyperkalemia,hypo-kalemia,hypo,GPT-4,"['hyp', 'ok', 'alem', 'ia']",Incorrect,Incorrect,"['hyper', 'k', 'alem', 'ia']",Incorrect,Incorrect,"['h', 'ypo', '-k', 'alem', 'ia']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13882,13882,hypoparathyroidism,hyperparathyroidism,hypo-parathyroidism,hypo,GPT-4,"['hyp', 'op', 'ar', 'athy', 'roid', 'ism']",Incorrect,Incorrect,"['hyper', 'par', 'athy', 'roid', 'ism']",Incorrect,Incorrect,"['h', 'ypo', '-par', 'athy', 'roid', 'ism']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13902,13902,hypothermia,hyperthermia,hypo-thermia,hypo,GPT-4,"['hyp', 'other', 'mia']",Incorrect,Incorrect,"['hyper', 'ther', 'mia']",Incorrect,Incorrect,"['h', 'ypo', '-', 'ther', 'mia']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13912,13912,hypotonia,hypertonia,hypo-tonia,hypo,GPT-4,"['hyp', 'ot', 'onia']",Incorrect,Incorrect,"['hyp', 'ert', 'onia']",Incorrect,Incorrect,"['h', 'ypo', '-ton', 'ia']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13922,13922,hypotonicity,hypertonicity,hypo-tonicity,hypo,GPT-4,"['hyp', 'ot', 'onic', 'ity']",Incorrect,Incorrect,"['hyp', 'ert', 'onic', 'ity']",Incorrect,Incorrect,"['h', 'ypo', '-ton', 'icity']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
13932,13932,hypotonus,hypertonus,hypo-tonus,hypo,GPT-4,"['hyp', 'oton', 'us']",Incorrect,Incorrect,"['hyp', 'ert', 'onus']",Incorrect,Incorrect,"['h', 'ypo', '-ton', 'us']",Incorrect,Incorrect,byte_level_bpe,1,Over-segmented,hyp
