Unnamed: 0,word,negative_affix,tokenizer,bytes,correct,tokenizer_type,Negated
482,analphabetic,an,cl100k_base,"['an', 'alph', 'abetic']",Correct,byte_level_bpe,True
492,unalterable,un,cl100k_base,"['unal', 'ter', 'able']",Incorrect,byte_level_bpe,True
502,unaltered,un,cl100k_base,"['unal', 'tered']",Incorrect,byte_level_bpe,True
512,unambiguous,un,cl100k_base,"['un', 'ambiguous']",Correct,byte_level_bpe,True
522,unambitious,un,cl100k_base,"['un', 'amb', 'itious']",Correct,byte_level_bpe,True
532,unamended,un,cl100k_base,"['un', 'am', 'ended']",Correct,byte_level_bpe,True
542,unanalyzed,un,cl100k_base,"['un', 'analy', 'zed']",Correct,byte_level_bpe,True
552,anastigmatic,un,cl100k_base,"['an', 'ast', 'igmatic']",Incorrect,byte_level_bpe,False
562,unangry,un,cl100k_base,"['un', 'ang', 'ry']",Correct,byte_level_bpe,True
572,inanimate,in,cl100k_base,"['in', 'animate']",Correct,byte_level_bpe,True
582,unanimated,un,cl100k_base,"['un', 'animated']",Correct,byte_level_bpe,True
592,anonymous,ab,cl100k_base,['anonymous'],Not segmented,byte_level_bpe,False
602,anticlinal,anti,cl100k_base,"['antic', 'l', 'inal']",Incorrect,byte_level_bpe,False
612,unapologetic,un,cl100k_base,"['un', 'ap', 'olo', 'getic']",Correct,byte_level_bpe,True
622,unappealable,un,cl100k_base,"['un', 'appe', 'al', 'able']",Correct,byte_level_bpe,True
632,unappealing,un,cl100k_base,"['un', 'appe', 'aling']",Correct,byte_level_bpe,True
642,unappendaged,un,cl100k_base,"['un', 'append', 'aged']",Correct,byte_level_bpe,True
652,unappetizing,un,cl100k_base,"['un', 'app', 'et', 'izing']",Correct,byte_level_bpe,True
662,unapproachable,un,cl100k_base,"['un', 'appro', 'achable']",Correct,byte_level_bpe,True
672,inappropriate,in,cl100k_base,"['in', 'appropriate']",Correct,byte_level_bpe,True
682,nonarbitrable,non,cl100k_base,"['non', 'ar', 'bit', 'r', 'able']",Correct,byte_level_bpe,True
692,nonarbitrary,non,cl100k_base,"['non', 'ar', 'bitrary']",Correct,byte_level_bpe,True
702,nonarboreal,non,cl100k_base,"['non', 'arb', 'oreal']",Correct,byte_level_bpe,True
712,unargumentative,un,cl100k_base,"['un', 'argument', 'ative']",Correct,byte_level_bpe,True
722,armless,less,cl100k_base,"['arm', 'less']",Correct,byte_level_bpe,True
732,unarmed,un,cl100k_base,"['un', 'armed']",Correct,byte_level_bpe,True
742,unarmored,un,cl100k_base,"['un', 'arm', 'ored']",Correct,byte_level_bpe,True
752,disarranged,dis,cl100k_base,"['dis', 'arr', 'anged']",Correct,byte_level_bpe,True
762,subartesian,sub,cl100k_base,"['sub', 'art', 'esian']",Correct,byte_level_bpe,False
772,artless,less,cl100k_base,"['art', 'less']",Correct,byte_level_bpe,True
782,inarticulate,in,cl100k_base,"['in', 'artic', 'ulate']",Correct,byte_level_bpe,True
792,unarticulated,un,cl100k_base,"['un', 'artic', 'ulated']",Correct,byte_level_bpe,True
802,descending,de,cl100k_base,['descending'],Not segmented,byte_level_bpe,False
812,unashamed,un,cl100k_base,"['un', 'ash', 'amed']",Correct,byte_level_bpe,True
822,unassertive,un,cl100k_base,"['un', 'assert', 'ive']",Correct,byte_level_bpe,True
832,unassigned,un,cl100k_base,"['un', 'assigned']",Correct,byte_level_bpe,True
842,unassisted,un,cl100k_base,"['un', 'ass', 'isted']",Correct,byte_level_bpe,True
852,nonassociative,non,cl100k_base,"['non', 'associ', 'ative']",Correct,byte_level_bpe,True
862,nonastringent,non,cl100k_base,"['non', 'a', 'string', 'ent']",Correct,byte_level_bpe,True
872,hypertrophied,hyper,cl100k_base,"['hyp', 'ert', 'roph', 'ied']",Incorrect,byte_level_bpe,False
882,detachable,de,cl100k_base,"['detach', 'able']",Incorrect,byte_level_bpe,False
892,detached,de,cl100k_base,"['det', 'ached']",Incorrect,byte_level_bpe,False
902,unattached,un,cl100k_base,"['un', 'attached']",Correct,byte_level_bpe,True
912,inattentive,in,cl100k_base,"['in', 'att', 'ent', 'ive']",Correct,byte_level_bpe,True
922,unattractive,un,cl100k_base,"['un', 'at', 'tractive']",Correct,byte_level_bpe,True
932,unattributable,un,cl100k_base,"['un', 'attrib', 'utable']",Correct,byte_level_bpe,True
942,inaudible,in,cl100k_base,"['ina', 'ud', 'ible']",Incorrect,byte_level_bpe,True
952,inauspicious,in,cl100k_base,"['ina', 'usp', 'icious']",Incorrect,byte_level_bpe,True
962,unauthorized,un,cl100k_base,"['un', 'authorized']",Correct,byte_level_bpe,True
972,unavailable,un,cl100k_base,"['un', 'available']",Correct,byte_level_bpe,True
982,unavenged,un,cl100k_base,"['un', 'av', 'eng', 'ed']",Correct,byte_level_bpe,True
992,unawakened,un,cl100k_base,"['un', 'aw', 'aken', 'ed']",Correct,byte_level_bpe,True
1002,unaware,un,cl100k_base,"['un', 'aware']",Correct,byte_level_bpe,True
1012,unawed,un,cl100k_base,"['un', 'aw', 'ed']",Correct,byte_level_bpe,True
1022,awnless,less,cl100k_base,"['awn', 'less']",Correct,byte_level_bpe,True
1032,backless,less,cl100k_base,"['back', 'less']",Correct,byte_level_bpe,False
1042,unbalanced,un,cl100k_base,"['un', 'balanced']",Correct,byte_level_bpe,True
1052,unbalconied,un,cl100k_base,"['un', 'bal', 'con', 'ied']",Correct,byte_level_bpe,True
1062,unbanded,un,cl100k_base,"['un', 'b', 'anded']",Correct,byte_level_bpe,True
1072,unbaptized,un,cl100k_base,"['un', 'b', 'apt', 'ized']",Correct,byte_level_bpe,True
1082,unbarreled,un,cl100k_base,"['un', 'bar', 're', 'led']",Correct,byte_level_bpe,True
1092,beakless,less,cl100k_base,"['be', 'ak', 'less']",Correct,byte_level_bpe,True
1102,nonbearing,non,cl100k_base,"['non', 'bearing']",Correct,byte_level_bpe,True
1112,bedless,less,cl100k_base,"['bed', 'less']",Correct,byte_level_bpe,False
1122,bellyless,less,cl100k_base,"['bel', 'ly', 'less']",Correct,byte_level_bpe,False
1132,unbelted,un,cl100k_base,"['un', 'belt', 'ed']",Correct,byte_level_bpe,True
1142,unbeneficed,un,cl100k_base,"['un', 'benef', 'iced']",Correct,byte_level_bpe,True
1152,maleficent,mal,cl100k_base,"['male', 'fic', 'ent']",Incorrect,byte_level_bpe,False
1162,malign,mal,cl100k_base,"['m', 'align']",Incorrect,byte_level_bpe,True
1172,malignant,mal,cl100k_base,"['m', 'align', 'ant']",Incorrect,byte_level_bpe,False
1182,bibless,less,cl100k_base,"['bib', 'less']",Correct,byte_level_bpe,False
1192,unicameral,un,cl100k_base,"['unic', 'am', 'eral']",Incorrect,byte_level_bpe,False
1202,unimodal,un,cl100k_base,"['un', 'im', 'odal']",Correct,byte_level_bpe,False
1212,unblemished,un,cl100k_base,"['un', 'blem', 'ished']",Correct,byte_level_bpe,True
1222,unblended,un,cl100k_base,"['un', 'bl', 'ended']",Correct,byte_level_bpe,True
1232,bloodless,less,cl100k_base,"['blood', 'less']",Correct,byte_level_bpe,True
1242,unbodied,un,cl100k_base,"['un', 'b', 'odied']",Correct,byte_level_bpe,True
1252,boneless,less,cl100k_base,"['bone', 'less']",Correct,byte_level_bpe,True
1262,unbordered,un,cl100k_base,"['un', 'border', 'ed']",Correct,byte_level_bpe,True
1272,unborn,un,cl100k_base,"['un', 'born']",Correct,byte_level_bpe,True
1282,bottomless,less,cl100k_base,"['bottom', 'less']",Correct,byte_level_bpe,True
1292,unbound,un,cl100k_base,"['un', 'bound']",Correct,byte_level_bpe,True
1302,ebracteate,e,cl100k_base,"['e', 'br', 'act', 'e', 'ate']",Correct,byte_level_bpe,True
1312,unbrainwashed,un,cl100k_base,"['un', 'brain', 'w', 'ashed']",Correct,byte_level_bpe,True
1322,abranchiate,a,cl100k_base,"['abr', 'anch', 'iate']",Incorrect,byte_level_bpe,True
1332,branchless,less,cl100k_base,"['branch', 'less']",Correct,byte_level_bpe,True
1342,unbranded,un,cl100k_base,"['un', 'br', 'anded']",Correct,byte_level_bpe,True
1352,unbreakable,un,cl100k_base,"['un', 'break', 'able']",Correct,byte_level_bpe,True
1362,breastless,less,cl100k_base,"['bre', 'ast', 'less']",Correct,byte_level_bpe,True
1372,breathless,less,cl100k_base,"['bre', 'ath', 'less']",Correct,byte_level_bpe,False
1382,unbridgeable,un,cl100k_base,"['un', 'bridge', 'able']",Correct,byte_level_bpe,True
1392,unbroken,un,cl100k_base,"['un', 'broken']",Correct,byte_level_bpe,True
1402,unburdened,un,cl100k_base,"['un', 'bur', 'den', 'ed']",Correct,byte_level_bpe,True
1412,unburied,un,cl100k_base,"['un', 'bur', 'ied']",Correct,byte_level_bpe,True
1422,unbuttoned,un,cl100k_base,"['un', 'button', 'ed']",Correct,byte_level_bpe,True
1432,discalced,dis,cl100k_base,"['d', 'iscal', 'ced']",Incorrect,byte_level_bpe,False
1442,incalculable,in,cl100k_base,"['inc', 'al', 'cul', 'able']",Incorrect,byte_level_bpe,False
1452,uncamphorated,un,cl100k_base,"['unc', 'am', 'ph', 'or', 'ated']",Incorrect,byte_level_bpe,True
1462,incapable,in,cl100k_base,"['inc', 'ap', 'able']",Incorrect,byte_level_bpe,True
1472,uncared-for,un,cl100k_base,"['unc', 'ared', '-for']",Incorrect,byte_level_bpe,True
1482,careless,less,cl100k_base,"['care', 'less']",Correct,byte_level_bpe,True
1492,acarpelous,a,cl100k_base,"['ac', 'arp', 'el', 'ous']",Incorrect,byte_level_bpe,True
1502,uncarpeted,un,cl100k_base,"['unc', 'ar', 'pet', 'ed']",Incorrect,byte_level_bpe,True
1512,uncarved,un,cl100k_base,"['unc', 'ar', 'ved']",Incorrect,byte_level_bpe,True
1522,uncastrated,un,cl100k_base,"['un', 'ca', 'str', 'ated']",Correct,byte_level_bpe,True
1532,hypercatalectic,hyper,cl100k_base,"['hy', 'perc', 'ata', 'lectic']",Incorrect,byte_level_bpe,False
1542,syncategorematic,syn,cl100k_base,"['sync', 'ateg', 'orem', 'atic']",Incorrect,byte_level_bpe,False
1552,acaulescent,a,cl100k_base,"['aca', 'ules', 'cent']",Incorrect,byte_level_bpe,False
1562,uncaulked,un,cl100k_base,"['un', 'ca', 'ulk', 'ed']",Correct,byte_level_bpe,True
1572,noncausative,non,cl100k_base,"['non', 'ca', 'us', 'ative']",Correct,byte_level_bpe,True
1582,incautious,in,cl100k_base,"['in', 'ca', 'ut', 'ious']",Correct,byte_level_bpe,True
1592,noncellular,non,cl100k_base,"['non', 'cell', 'ular']",Correct,byte_level_bpe,True
1602,uncensored,un,cl100k_base,"['unc', 'ensored']",Incorrect,byte_level_bpe,True
1612,decentralized,de,cl100k_base,"['de', 'central', 'ized']",Correct,byte_level_bpe,True
1622,decentralizing,de,cl100k_base,"['de', 'central', 'izing']",Correct,byte_level_bpe,False
1632,uncertain,un,cl100k_base,"['unc', 'ertain']",Incorrect,byte_level_bpe,False
1642,uncertified,un,cl100k_base,"['unc', 'ert', 'ified']",Incorrect,byte_level_bpe,True
1652,unchangeable,un,cl100k_base,"['unch', 'ange', 'able']",Incorrect,byte_level_bpe,True
1662,unchanged,un,cl100k_base,"['unch', 'anged']",Incorrect,byte_level_bpe,True
1672,uncharacteristic,un,cl100k_base,"['un', 'character', 'istic']",Correct,byte_level_bpe,True
1682,uncharged,un,cl100k_base,"['unch', 'arged']",Incorrect,byte_level_bpe,True
1692,uncharitable,un,cl100k_base,"['un', 'char', 'itable']",Correct,byte_level_bpe,True
1702,unchartered,un,cl100k_base,"['un', 'char', 'tered']",Correct,byte_level_bpe,True
1712,unchaste,un,cl100k_base,"['unch', 'aste']",Incorrect,byte_level_bpe,True
1722,anticholinergic,anti,cl100k_base,"['ant', 'ich', 'olin', 'ergic']",Incorrect,byte_level_bpe,False
1732,achondritic,a,cl100k_base,"['ach', 'ond', 'ritic']",Incorrect,byte_level_bpe,False
1742,unchristian,un,cl100k_base,"['unch', 'rist', 'ian']",Incorrect,byte_level_bpe,True
1752,achromatic,a,cl100k_base,"['ach', 'romatic']",Incorrect,byte_level_bpe,True
1762,achromatinic,a,cl100k_base,"['ach', 'rom', 'atin', 'ic']",Incorrect,byte_level_bpe,False
1772,tramontane,tra,cl100k_base,"['tram', 'ont', 'ane']",Incorrect,byte_level_bpe,False
1782,uncivil,un,cl100k_base,"['unc', 'ivil']",Incorrect,byte_level_bpe,True
1792,noncivilized,non,cl100k_base,"['non', 'civil', 'ized']",Correct,byte_level_bpe,True
1802,nonclassical,non,cl100k_base,"['non', 'class', 'ical']",Correct,byte_level_bpe,True
1812,unclassified,un,cl100k_base,"['un', 'classified']",Correct,byte_level_bpe,False
1822,unclean,un,cl100k_base,"['unc', 'lean']",Incorrect,byte_level_bpe,True
1832,unclear,un,cl100k_base,"['unc', 'lear']",Incorrect,byte_level_bpe,True
1842,uncleared,un,cl100k_base,"['unc', 'leared']",Incorrect,byte_level_bpe,True
1852,inclement,in,cl100k_base,"['inc', 'lement']",Incorrect,byte_level_bpe,False
1862,anticlimactic,anti,cl100k_base,"['antic', 'lim', 'actic']",Incorrect,byte_level_bpe,True
1872,unclothed,un,cl100k_base,"['unc', 'loth', 'ed']",Incorrect,byte_level_bpe,True
1882,inland,in,cl100k_base,"['in', 'land']",Correct,byte_level_bpe,False
1892,uncoated,un,cl100k_base,"['un', 'co', 'ated']",Correct,byte_level_bpe,True
1902,incoherent,in,cl100k_base,"['in', 'co', 'herent']",Correct,byte_level_bpe,True
1912,uncoiled,un,cl100k_base,"['un', 'co', 'iled']",Correct,byte_level_bpe,False
1922,noncollapsible,non,cl100k_base,"['non', 'coll', 'apsible']",Correct,byte_level_bpe,True
1932,uncollected,un,cl100k_base,"['unc', 'ol', 'lected']",Incorrect,byte_level_bpe,True
1942,distributive,dis,cl100k_base,"['d', 'istrib', 'utive']",Incorrect,byte_level_bpe,False
1952,uncolored,un,cl100k_base,"['unc', 'ol', 'ored']",Incorrect,byte_level_bpe,True
1962,colorless,less,cl100k_base,"['color', 'less']",Correct,byte_level_bpe,True
1972,colourless,less,cl100k_base,"['colour', 'less']",Correct,byte_level_bpe,True
1982,noncolumned,non,cl100k_base,"['non', 'column', 'ed']",Correct,byte_level_bpe,True
1992,uncombed,un,cl100k_base,"['un', 'com', 'bed']",Correct,byte_level_bpe,True
2002,noncombinative,non,cl100k_base,"['non', 'com', 'bin', 'ative']",Correct,byte_level_bpe,True
2012,uncombined,un,cl100k_base,"['un', 'combined']",Correct,byte_level_bpe,True
2022,noncombustible,non,cl100k_base,"['non', 'comb', 'ust', 'ible']",Correct,byte_level_bpe,True
2032,uncomfortable,un,cl100k_base,"['un', 'comfort', 'able']",Correct,byte_level_bpe,True
2042,incommensurate,in,cl100k_base,"['in', 'comm', 'ens', 'urate']",Correct,byte_level_bpe,True
2052,noncommercial,non,cl100k_base,"['non', 'commercial']",Correct,byte_level_bpe,True
2062,noncommissioned,non,cl100k_base,"['non', 'commission', 'ed']",Correct,byte_level_bpe,True
2072,uncommitted,un,cl100k_base,"['un', 'committed']",Correct,byte_level_bpe,True
2082,incommodious,in,cl100k_base,"['in', 'com', 'mod', 'ious']",Correct,byte_level_bpe,True
2092,uncommon,un,cl100k_base,"['un', 'common']",Correct,byte_level_bpe,True
2102,uncommunicative,un,cl100k_base,"['un', 'communic', 'ative']",Correct,byte_level_bpe,True
2112,incommutable,in,cl100k_base,"['in', 'comm', 'utable']",Correct,byte_level_bpe,True
2122,incomparable,in,cl100k_base,"['in', 'com', 'parable']",Correct,byte_level_bpe,True
2132,uncompartmented,un,cl100k_base,"['un', 'comp', 'artment', 'ed']",Correct,byte_level_bpe,True
2142,uncompassionate,un,cl100k_base,"['un', 'compass', 'ionate']",Correct,byte_level_bpe,True
2152,incompatible,in,cl100k_base,"['in', 'compatible']",Correct,byte_level_bpe,True
2162,incompetent,in,cl100k_base,"['in', 'compet', 'ent']",Correct,byte_level_bpe,True
2172,noncompetitive,non,cl100k_base,"['non', 'competitive']",Correct,byte_level_bpe,True
2182,uncomplaining,un,cl100k_base,"['un', 'com', 'pl', 'aining']",Correct,byte_level_bpe,True
2192,incomplete,in,cl100k_base,"['in', 'complete']",Correct,byte_level_bpe,True
2202,uncomplimentary,un,cl100k_base,"['un', 'com', 'pl', 'imentary']",Correct,byte_level_bpe,True
2212,discomposed,dis,cl100k_base,"['dis', 'composed']",Correct,byte_level_bpe,True
2222,incomprehensible,in,cl100k_base,"['in', 'com', 'preh', 'ensible']",Correct,byte_level_bpe,True
2232,noncomprehensive,non,cl100k_base,"['non', 'com', 'prehensive']",Correct,byte_level_bpe,True
2242,incompressible,in,cl100k_base,"['in', 'compress', 'ible']",Correct,byte_level_bpe,True
2252,unconcealed,un,cl100k_base,"['un', 'con', 'ce', 'aled']",Correct,byte_level_bpe,True
2262,revealing,re,cl100k_base,"['reve', 'aling']",Incorrect,byte_level_bpe,False
2272,distributed,dis,cl100k_base,['distributed'],Not segmented,byte_level_bpe,False
2282,unconcerned,un,cl100k_base,"['un', 'con', 'cern', 'ed']",Correct,byte_level_bpe,True
2292,inconclusive,in,cl100k_base,"['in', 'con', 'clusive']",Correct,byte_level_bpe,True
2302,unconditional,un,cl100k_base,"['un', 'conditional']",Correct,byte_level_bpe,False
2312,unconditioned,un,cl100k_base,"['un', 'condition', 'ed']",Correct,byte_level_bpe,True
2322,nonconductive,non,cl100k_base,"['non', 'con', 'ductive']",Correct,byte_level_bpe,True
2332,confident,dis,cl100k_base,"['conf', 'ident']",Incorrect,byte_level_bpe,False
2342,unconfined,un,cl100k_base,"['un', 'conf', 'ined']",Correct,byte_level_bpe,True
2352,unconfirmed,un,cl100k_base,"['un', 'confirmed']",Correct,byte_level_bpe,True
2362,uncongenial,un,cl100k_base,"['un', 'con', 'gen', 'ial']",Correct,byte_level_bpe,True
2372,incongruent,in,cl100k_base,"['in', 'con', 'gr', 'uent']",Correct,byte_level_bpe,False
2382,incongruous,in,cl100k_base,"['in', 'con', 'gr', 'uous']",Correct,byte_level_bpe,False
2392,disjunct,dis,cl100k_base,"['dis', 'j', 'unct']",Correct,byte_level_bpe,False
2402,disjunctive,dis,cl100k_base,"['dis', 'j', 'unct', 'ive']",Correct,byte_level_bpe,False
2412,unconnected,un,cl100k_base,"['un', 'connected']",Correct,byte_level_bpe,True
2422,unconquerable,un,cl100k_base,"['un', 'con', 'quer', 'able']",Correct,byte_level_bpe,True
2432,unconscientious,un,cl100k_base,"['un', 'con', 'scient', 'ious']",Correct,byte_level_bpe,True
2442,unconscious,un,cl100k_base,"['un', 'conscious']",Correct,byte_level_bpe,True
2452,desecrated,de,cl100k_base,"['des', 'ec', 'rated']",Incorrect,byte_level_bpe,True
2462,inconsiderable,in,cl100k_base,"['in', 'consider', 'able']",Correct,byte_level_bpe,True
2472,inconsiderate,in,cl100k_base,"['in', 'consider', 'ate']",Correct,byte_level_bpe,True
2482,inconsistent,in,cl100k_base,"['in', 'consistent']",Correct,byte_level_bpe,True
2492,inconsolable,in,cl100k_base,"['in', 'cons', 'ol', 'able']",Correct,byte_level_bpe,True
2502,inconspicuous,in,cl100k_base,"['in', 'con', 'sp', 'ic', 'uous']",Correct,byte_level_bpe,True
2512,inconstant,in,cl100k_base,"['in', 'constant']",Correct,byte_level_bpe,True
2522,unconstipated,un,cl100k_base,"['un', 'const', 'ipated']",Correct,byte_level_bpe,False
2532,unconstitutional,un,cl100k_base,"['un', 'constitutional']",Correct,byte_level_bpe,True
2542,unconstricted,un,cl100k_base,"['un', 'con', 'stricted']",Correct,byte_level_bpe,True
2552,destructive,de,cl100k_base,"['destruct', 'ive']",Incorrect,byte_level_bpe,False
2562,unconsummated,un,cl100k_base,"['un', 'consum', 'm', 'ated']",Correct,byte_level_bpe,True
2572,uncontaminated,un,cl100k_base,"['un', 'cont', 'amin', 'ated']",Correct,byte_level_bpe,True
2582,discontented,dis,cl100k_base,"['dis', 'content', 'ed']",Correct,byte_level_bpe,True
2592,incontestable,in,cl100k_base,"['in', 'contest', 'able']",Correct,byte_level_bpe,True
2602,uncontested,un,cl100k_base,"['un', 'cont', 'ested']",Correct,byte_level_bpe,True
2612,incontinent,in,cl100k_base,"['in', 'continent']",Correct,byte_level_bpe,True
2622,discontinued,dis,cl100k_base,"['dis', 'continued']",Correct,byte_level_bpe,True
2632,discontinuous,dis,cl100k_base,"['dis', 'continuous']",Correct,byte_level_bpe,True
2642,uncontrolled,un,cl100k_base,"['un', 'controlled']",Correct,byte_level_bpe,True
2652,uncontroversial,un,cl100k_base,"['un', 'cont', 'rovers', 'ial']",Correct,byte_level_bpe,True
2662,inconvenient,in,cl100k_base,"['in', 'con', 'venient']",Correct,byte_level_bpe,True
2672,unconventional,un,cl100k_base,"['un', 'con', 'ventional']",Correct,byte_level_bpe,True
2682,divergent,di,cl100k_base,"['div', 'erg', 'ent']",Incorrect,byte_level_bpe,False
2692,inconvertible,in,cl100k_base,"['in', 'convert', 'ible']",Correct,byte_level_bpe,True
2702,unconvinced,un,cl100k_base,"['un', 'con', 'vin', 'ced']",Correct,byte_level_bpe,True
2712,unconvincing,un,cl100k_base,"['un', 'conv', 'inc', 'ing']",Correct,byte_level_bpe,True
2722,uncooperative,un,cl100k_base,"['un', 'co', 'operative']",Correct,byte_level_bpe,True
2732,incorporeal,in,cl100k_base,"['inc', 'orp', 'oreal']",Incorrect,byte_level_bpe,True
2742,incorrect,in,cl100k_base,['incorrect'],Not segmented,byte_level_bpe,True
2752,uncorrected,un,cl100k_base,"['unc', 'orrect', 'ed']",Incorrect,byte_level_bpe,True
2762,incorrigible,in,cl100k_base,"['inc', 'or', 'rig', 'ible']",Incorrect,byte_level_bpe,True
2772,incorrupt,in,cl100k_base,"['inc', 'or', 'rupt']",Incorrect,byte_level_bpe,True
2782,counterclockwise,counter,cl100k_base,"['count', 'erc', 'lock', 'wise']",Incorrect,byte_level_bpe,True
2792,discourteous,dis,cl100k_base,"['disc', 'our', 'te', 'ous']",Incorrect,byte_level_bpe,True
2802,uncousinly,un,cl100k_base,"['unc', 'ous', 'in', 'ly']",Incorrect,byte_level_bpe,True
2812,uncrannied,un,cl100k_base,"['unc', 'r', 'ann', 'ied']",Incorrect,byte_level_bpe,True
2822,uncreative,un,cl100k_base,"['un', 'creative']",Correct,byte_level_bpe,True
2832,incredible,in,cl100k_base,"['in', 'credible']",Correct,byte_level_bpe,False
2842,incredulous,in,cl100k_base,"['in', 'cred', 'ulous']",Correct,byte_level_bpe,True
2852,noncritical,non,cl100k_base,"['non', 'critical']",Correct,byte_level_bpe,True
2862,uncritical,un,cl100k_base,"['unc', 'ritical']",Incorrect,byte_level_bpe,True
2872,uncrossed,un,cl100k_base,"['unc', 'ross', 'ed']",Incorrect,byte_level_bpe,True
2882,uncrowded,un,cl100k_base,"['unc', 'row', 'ded']",Incorrect,byte_level_bpe,True
2892,uncrowned,un,cl100k_base,"['unc', 'rowned']",Incorrect,byte_level_bpe,True
2902,noncrucial,non,cl100k_base,"['non', 'cr', 'uc', 'ial']",Correct,byte_level_bpe,True
2912,noncrystalline,non,cl100k_base,"['non', 'cr', 'yst', 'all', 'ine']",Correct,byte_level_bpe,True
