word,neg_score,pos_score,label,checked
maturity,0.0,0.0,2,unchecked
unmilitary,0.75,0.0,2,checked
metallic,0.0,0.0,2,unchecked
effortlessness,0.625,0.125,1,checked
ribbed,0.0,0.0,2,unchecked
overexpose,0.0,0.0,2,unchecked
uncared-for,0.125,0.125,0,checked
fearlessness,0.75,0.125,1,checked
anticlinal,0.0,0.0,2,checked
motorized,0.0,0.0,2,unchecked
inviolable,0.375,0.125,2,checked
driver,0.0,0.0,2,unchecked
insentience,0.25,0.125,2,checked
expensiveness,0.0,0.625,1,unchecked
compression,0.0,0.0,2,unchecked
concerned,0.375,0.5,2,unchecked
hairlessness,0.0,0.0,2,checked
moderate,0.0,0.0,2,unchecked
wrapped,0.0,0.0,2,unchecked
usefully,0.0,0.25,2,unchecked
elegantly,0.0,0.375,1,unchecked
impurity,0.0,0.125,0,checked
insensibility,0.75,0.0,0,checked
honor,0.0,0.5,1,unchecked
unhealthy,0.75,0.0,0,checked
armored,0.125,0.0,2,unchecked
activity,0.0,0.125,2,unchecked
nonphotosynthetic,0.125,0.0,2,checked
decompression,0.0,0.0,2,checked
proliferation,0.0,0.0,2,unchecked
demanding,0.0,0.0,2,unchecked
willingness,0.25,0.375,2,unchecked
intransitively,0.0,0.25,2,checked
forceful,0.0,0.0,2,unchecked
endowed,0.0,0.0,2,unchecked
ungathered,0.625,0.0,2,checked
constitutionally,0.0,0.0,2,unchecked
traceable,0.0,0.0,2,unchecked
obtrusive,0.125,0.0,2,unchecked
decision,0.0,0.0,2,unchecked
discerning,0.0,0.0,2,unchecked
untalented,0.0,0.375,0,checked
disagreement,0.0,0.125,0,checked
unaltered,0.0,0.0,2,checked
powerfulness,0.0,0.0,2,unchecked
patiently,0.0,0.125,2,unchecked
tangible,0.0,0.5,1,unchecked
exact,0.0,0.0,2,unchecked
sane,0.0,0.0,2,unchecked
assortative_mating,0.0,0.0,2,unchecked
tubeless,0.625,0.0,2,checked
penitent,0.0,0.0,2,unchecked
attentive,0.0,0.25,2,unchecked
extrasensory,0.0,0.0,2,checked
staged,0.0,0.0,2,unchecked
enthrone,0.0,0.0,2,unchecked
recoverable,0.0,0.5,1,unchecked
decorousness,0.0,0.625,1,unchecked
unquietly,0.0,0.0,2,checked
common,0.0,0.0,2,unchecked
loyal,0.0,0.0,2,unchecked
creativeness,0.0,0.125,2,unchecked
integrate,0.0,0.0,2,unchecked
undervalue,0.0,0.0,0,checked
adequate,0.0,0.0,2,unchecked
noncivilized,0.0,0.0,0,checked
disloyal,0.0,0.0,0,checked
inhumane,0.0,0.0,0,checked
scrupulousness,0.0,0.75,1,unchecked
godliness,0.0,0.375,1,unchecked
inconsiderate,0.0,0.0,0,checked
ready,0.0,0.0,2,unchecked
cognizance,0.0,0.5,1,unchecked
extinguishable,0.0,0.5,1,unchecked
syndetic,0.0,0.0,2,unchecked
renewable,0.0,0.0,2,unchecked
demonstrative,0.0,0.0,2,unchecked
naturally,0.25,0.125,2,unchecked
measurable,0.0,0.0,2,unchecked
colourful,0.0,0.0,2,unchecked
indecently,0.25,0.0,0,checked
allow,0.0,0.0,2,unchecked
untimeliness,0.25,0.0,0,checked
irregularly,0.0,0.0,2,checked
unnaturalness,0.875,0.0,0,checked
unmanageably,0.0,0.0,0,checked
unreliable,0.875,0.0,0,checked
undetermined,0.625,0.0,0,checked
unrealistic,0.75,0.0,0,checked
undrinkable,0.5,0.25,0,checked
moving,0.0,0.0,2,unchecked
inedible,0.75,0.25,0,checked
convergent_thinking,0.0,0.0,2,unchecked
correctly,0.0,0.25,2,unchecked
high_season,0.0,0.125,2,unchecked
atypically,0.0,0.25,2,checked
headed,0.0,0.0,2,unchecked
ambitious,0.125,0.5,1,unchecked
inculpatory,0.0,0.0,0,checked
felicity,0.0,0.5,1,unchecked
patriotic,0.0,0.125,2,unchecked
specified,0.0,0.0,2,unchecked
unpresidential,0.125,0.0,0,checked
untouched,0.5,0.0,2,checked
impiety,0.25,0.375,0,checked
unbreakable,0.625,0.0,1,checked
incomprehension,0.625,0.25,0,checked
dispensable,0.0,0.5,1,unchecked
unreal,0.0,0.0,2,checked
uneventful,0.375,0.25,2,checked
insectivorous,0.0,0.0,2,checked
comparable,0.0,0.5,1,unchecked
inaudibility,0.5,0.25,2,checked
unsarcastic,0.625,0.0,2,checked
discourteously,0.0,0.25,0,checked
inextinguishable,0.875,0.0,2,checked
conspicuously,0.0,0.125,2,unchecked
unbodied,0.25,0.0,2,checked
representative,0.0,0.0,2,unchecked
off-street,0.0,0.0,2,checked
disengage,0.0,0.0,2,checked
owned,0.0,0.0,2,unchecked
unsaponified,0.375,0.25,2,checked
constricted,0.0,0.0,2,unchecked
inoperable,0.75,0.0,0,checked
mechanical,0.0,0.0,2,unchecked
bind,0.0,0.0,2,unchecked
overbid,0.0,0.0,2,unchecked
inexpedience,0.25,0.375,0,checked
hypertonia,0.0,0.0,2,unchecked
incorporeality,0.625,0.0,2,checked
toxic,0.0,0.0,2,unchecked
unstoppable,0.625,0.0,1,checked
soled,0.0,0.0,2,unchecked
incapable,0.125,0.125,0,checked
inappropriate,0.0,0.0,0,checked
silenced,0.0,0.0,2,unchecked
unframed,0.625,0.0,2,checked
impermanent,0.0,0.0,2,checked
unsteadiness,0.5,0.0,0,checked
cautiously,0.25,0.0,2,unchecked
denitrify,0.0,0.0,2,checked
unforgivably,0.0,0.0,0,checked
insomnia,0.75,0.0,0,checked
ordered,0.0,0.0,2,unchecked
known,0.0,0.0,2,unchecked
wire,0.0,0.0,2,unchecked
disembark,0.0,0.0,2,checked
lash,0.0,0.0,2,unchecked
eventful,0.0,0.0,2,unchecked
profitableness,0.125,0.625,1,unchecked
petalous,0.0,0.0,2,unchecked
necessary,0.0,0.625,1,unchecked
continuous,0.0,0.0,2,unchecked
inanimateness,0.625,0.0,2,checked
determinable,0.0,0.5,1,unchecked
obligated,0.0,0.0,2,unchecked
related,0.0,0.0,2,unchecked
inelegance,0.125,0.625,0,checked
unfavorably,0.125,0.125,0,checked
disarm,0.0,0.0,2,checked
unreliably,0.0,0.25,0,checked
retentive,0.0,0.0,2,unchecked
enchant,0.0,0.0,2,unchecked
imitative,0.5,0.125,0,unchecked
volatile,0.0,0.0,2,unchecked
demagnetise,0.0,0.0,2,checked
cross,0.0,0.0,2,unchecked
inattentiveness,0.0,0.0,0,checked
dedifferentiate,0.0,0.0,2,checked
animated,0.0,0.0,2,unchecked
tactless,0.0,0.0,0,checked
fruitful,0.0,0.0,2,unchecked
merit,0.0,0.75,1,unchecked
tactfully,0.0,0.5,1,unchecked
benign,0.0,0.0,2,unchecked
unconstricted,0.5,0.125,1,checked
perplexed,0.0,0.0,2,unchecked
hypertrophied,0.0,0.0,2,checked
reputably,0.0,0.25,2,unchecked
unclog,0.0,0.0,2,checked
immodesty,0.25,0.0,0,checked
puncturable,0.0,0.625,1,unchecked
unextended,0.75,0.0,2,checked
exhausted,0.0,0.0,2,unchecked
unpopularity,0.125,0.375,0,checked
inflationary,0.25,0.125,2,unchecked
nonprescription,0.0,0.0,2,checked
advisable,0.0,0.625,1,unchecked
unadjusted,0.625,0.0,2,checked
noninstitutionalized,0.0,0.0,2,checked
disbelieve,0.0,0.0,0,checked
assembly,0.0,0.0,2,unchecked
distrustful,0.0,0.0,0,checked
invariable,0.625,0.0,2,checked
discolor,0.0,0.0,2,checked
disreputably,0.0,0.125,0,checked
rentable,0.0,0.25,2,unchecked
intentionally,0.0,0.375,1,unchecked
equilibrium,0.0,0.0,2,unchecked
correct,0.0,0.0,2,unchecked
involvement,0.0,0.0,2,unchecked
intolerant,0.0,0.0,0,checked
analyzed,0.0,0.0,2,unchecked
implausible,0.375,0.25,0,checked
existent,0.0,0.0,2,unchecked
unthinkable,0.625,0.0,0,checked
unappendaged,0.625,0.0,2,checked
unnoticeable,0.625,0.0,2,checked
breathing,0.0,0.0,2,unchecked
discouragingly,0.0,0.125,0,checked
propitiously,0.0,0.0,2,unchecked
sensibility,0.375,0.125,2,unchecked
equitably,0.0,0.25,2,unchecked
fallibility,0.0,0.0,2,unchecked
isotonic,0.0,0.0,2,unchecked
advantage,0.0,0.625,1,unchecked
argumentative,0.25,0.375,2,unchecked
criminalise,0.0,0.0,2,unchecked
requested,0.0,0.0,2,unchecked
hypercatalectic,0.0,0.0,2,checked
conclusively,0.0,0.0,2,unchecked
intangibility,0.375,0.375,2,checked
unleavened,0.0,0.0,2,checked
freeze,0.0,0.0,2,unchecked
literacy,0.0,0.25,2,unchecked
uninviting,0.0,0.0,0,checked
appetizing,0.0,0.0,2,unchecked
fairness,0.125,0.625,1,unchecked
unfortunate,0.25,0.0,0,checked
harmony,0.125,0.0,2,unchecked
spirited,0.0,0.0,2,unchecked
curious,0.375,0.125,2,unchecked
overpay,0.0,0.0,2,unchecked
hook,0.0,0.0,2,unchecked
agreeableness,0.0,0.625,1,unchecked
no-go,0.75,0.0,0,checked
overgarment,0.0,0.0,2,unchecked
rhetorical,0.0,0.0,2,unchecked
incorrect,0.0,0.0,0,checked
juiceless,0.0,0.0,2,checked
punished,0.0,0.0,2,unchecked
conventionally,0.0,0.5,1,unchecked
satisfaction,0.375,0.0,0,unchecked
understate,0.0,0.0,2,checked
nonintervention,0.125,0.0,2,checked
unposed,0.75,0.0,2,checked
demulsify,0.0,0.0,2,checked
downtick,0.0,0.0,0,checked
unpublished,0.125,0.0,2,checked
unpriestly,0.0,0.0,2,checked
decode,0.0,0.0,2,checked
untreated,0.875,0.0,0,checked
incontestable,0.625,0.0,1,checked
acceptably,0.0,0.5,1,unchecked
incoordination,0.625,0.0,0,checked
materiality,0.0,0.5,1,unchecked
uncertainty,0.0,0.0,0,checked
abranchiate,0.0,0.0,2,checked
unobtrusiveness,0.625,0.125,1,checked
incentive,0.0,0.25,2,unchecked
mitigated,0.0,0.0,2,unchecked
rhythmical,0.5,0.0,0,unchecked
pleasantly,0.0,0.375,1,unchecked
immeasurably,0.0,0.0,2,checked
playful,0.0,0.0,2,unchecked
uncompartmented,0.75,0.0,2,checked
predictable,0.0,0.0,2,unchecked
ill-defined,0.125,0.375,0,checked
unpermissiveness,0.625,0.25,0,checked
hipless,0.0,0.0,2,checked
fortunate,0.0,0.0,2,unchecked
ascend,0.0,0.0,2,unchecked
nonpsychoactive,0.75,0.0,2,checked
alphabetic,0.0,0.0,2,unchecked
unappreciatively,0.0,0.25,0,checked
imperfect,0.0,0.0,0,checked
disenfranchise,0.0,0.0,0,checked
order,0.0,0.0,2,unchecked
shod,0.0,0.0,2,unchecked
achondritic,0.0,0.0,2,checked
conception,0.0,0.0,2,unchecked
symmetrically,0.0,0.125,2,unchecked
credible,0.0,0.625,1,unchecked
inauspiciously,0.0,0.25,0,checked
modified,0.0,0.0,2,unchecked
responsibleness,0.0,0.375,1,unchecked
bottomed,0.0,0.0,2,unchecked
confined,0.0,0.0,2,unchecked
esteem,0.0,0.375,1,unchecked
unsuitability,0.25,0.5,0,checked
unprecedentedly,0.0,0.25,2,checked
nonclassical,0.125,0.0,2,checked
rigid,0.75,0.0,0,unchecked
equality,0.5,0.0,0,unchecked
combinative,0.0,0.0,2,unchecked
unpronounceable,0.625,0.125,2,checked
ungenerous,0.25,0.375,0,checked
infelicitous,0.75,0.0,0,checked
irreducible,0.625,0.0,2,checked
chromatinic,0.0,0.0,2,unchecked
infidelity,0.375,0.5,0,checked
unalterability,0.625,0.125,2,checked
malnourished,0.0,0.0,0,checked
externally,0.0,0.0,2,unchecked
offending,0.0,0.0,2,unchecked
manfully,0.0,0.0,2,unchecked
noncritical,0.5,0.0,2,checked
unprofitable,0.625,0.0,0,checked
patronized,0.0,0.0,2,unchecked
oral,0.0,0.0,2,unchecked
incurable,0.0,0.5,0,checked
patience,0.0,0.75,1,unchecked
laureled,0.0,0.0,2,unchecked
inerrancy,0.375,0.25,2,checked
superhuman,0.0,0.0,2,unchecked
attach,0.0,0.0,2,unchecked
out-basket,0.0,0.0,2,checked
inapplicability,0.0,0.125,2,checked
uninspiring,0.0,0.0,0,checked
politely,0.0,0.125,2,unchecked
unnoticed,0.125,0.0,2,checked
benignancy,0.375,0.5,2,unchecked
excited,0.0,0.0,2,unchecked
nonbearing,0.0,0.0,2,checked
infeasibility,0.625,0.125,0,checked
immobile,0.0,0.0,2,checked
outdoors,0.0,0.0,2,checked
synclinal,0.0,0.0,2,unchecked
association,0.0,0.0,2,unchecked
untraveled,0.625,0.0,2,checked
unconfirmed,0.625,0.0,2,checked
definite,0.0,0.0,2,unchecked
mutability,0.125,0.625,1,unchecked
astringent,0.0,0.0,2,unchecked
articulately,0.0,0.0,2,unchecked
complaining,0.0,0.0,2,unchecked
screw,0.0,0.0,2,unchecked
unscripted,0.625,0.0,2,checked
unsmilingly,0.0,0.25,0,checked
revealing,0.0,0.0,2,checked
relevant,0.0,0.0,2,unchecked
unchain,0.0,0.0,2,checked
nonalignment,0.125,0.0,2,checked
activator,0.0,0.0,2,unchecked
undignified,0.25,0.0,0,checked
extraordinariness,0.375,0.5,1,checked
nonexempt,0.0,0.0,2,checked
inattentive,0.375,0.25,0,checked
unwire,0.0,0.0,2,checked
suppurative,0.0,0.0,2,unchecked
enforced,0.0,0.0,2,unchecked
connectedness,0.0,0.0,2,unchecked
quotable,0.0,0.0,2,unchecked
hospitable,0.0,0.5,1,unchecked
dysphoric,0.0,0.0,0,checked
trackless,0.0,0.0,2,checked
informality,0.25,0.375,2,checked
normality,0.125,0.125,2,unchecked
contraindication,0.0,0.0,2,checked
uptick,0.0,0.0,2,unchecked
fastidious,0.0,0.5,1,unchecked
intelligent,0.0,0.0,2,unchecked
unsolvability,0.625,0.0,0,checked
unreported,0.125,0.0,2,checked
wooded,0.0,0.0,2,unchecked
unintelligently,0.0,0.25,0,checked
emigrate,0.0,0.0,2,unchecked
immeasurable,0.375,0.125,2,checked
approbation,0.0,0.25,2,unchecked
fidelity,0.0,0.0,2,unchecked
mythologize,0.0,0.0,2,unchecked
employed,0.0,0.0,2,unchecked
deflate,0.0,0.0,2,checked
fit,0.5,0.0,0,unchecked
unpleasantness,0.25,0.0,0,checked
wellness,0.0,0.625,1,unchecked
untruthful,0.625,0.0,0,checked
commercial,0.0,0.0,2,unchecked
unstable,0.375,0.25,0,checked
scrupulous,0.5,0.375,2,unchecked
unofficially,0.0,0.0,2,checked
unplug,0.0,0.0,2,checked
unbelt,0.0,0.0,2,checked
encouragement,0.0,0.0,2,unchecked
precision,0.375,0.25,2,unchecked
unbeneficed,0.625,0.0,0,checked
unassertive,0.0,0.625,2,checked
unmask,0.0,0.0,2,checked
attentiveness,0.0,0.0,2,unchecked
commonness,0.0,0.0,2,unchecked
undercharge,0.5,0.0,0,checked
extraordinary,0.0,0.625,1,checked
exhaustible,0.0,0.625,1,unchecked
trustworthy,0.0,0.0,2,unchecked
tactfulness,0.0,0.5,1,unchecked
insubordinate,0.0,0.0,0,checked
initiate,0.0,0.0,2,unchecked
unhook,0.0,0.0,2,checked
oiled,0.0,0.0,2,unchecked
disorder,0.375,0.0,0,checked
tastelessly,0.625,0.0,0,checked
collapsible,0.0,0.625,1,unchecked
improperness,0.5,0.0,0,checked
unquestionable,0.25,0.0,2,checked
undelineated,0.625,0.0,0,checked
deregulate,0.0,0.0,2,checked
realistic,0.25,0.25,2,unchecked
aptitude,0.0,0.125,2,unchecked
cared-for,0.0,0.0,2,unchecked
tidiness,0.0,0.5,1,unchecked
infiniteness,0.75,0.0,2,checked
pleasingness,0.0,0.75,1,unchecked
preciseness,0.0,0.5,1,unchecked
gratefully,0.0,0.25,2,unchecked
inauspicious,0.889,0.111,0,checked
forgettable,0.0,0.5,1,unchecked
formed,0.0,0.0,2,unchecked
neckless,0.0,0.0,2,checked
baptized,0.0,0.0,2,unchecked
uncrate,0.0,0.0,2,checked
unfair,0.0,0.0,0,checked
uncollected,0.625,0.0,2,checked
inaudibly,0.0,0.25,2,checked
discontentment,0.0,0.125,0,checked
unsure,0.0,0.0,0,checked
odorize,0.0,0.0,2,unchecked
unexploited,0.625,0.0,2,checked
enfranchise,0.0,0.0,2,unchecked
earned_run,0.625,0.0,0,unchecked
incomprehensibility,0.375,0.375,2,checked
intense,0.0,0.0,2,checked
hypoparathyroidism,0.625,0.0,2,checked
imperceptibly,0.0,0.0,2,checked
scalable,0.0,0.5,1,unchecked
unwillingly,0.125,0.0,0,checked
unoriginality,0.375,0.125,0,checked
entangle,0.0,0.0,2,unchecked
compressibility,0.0,0.0,2,unchecked
unconsummated,0.0,0.0,2,checked
cooperative,0.0,0.0,2,unchecked
unkind,0.0,0.0,0,checked
romantically,0.0,0.25,2,unchecked
unaffectedness,0.0,0.625,2,checked
grassy,0.0,0.0,2,unchecked
unclutter,0.0,0.0,1,checked
unchristian,0.625,0.0,0,checked
fertility,0.0,0.0,2,unchecked
impropriety,0.5,0.0,0,checked
trustful,0.0,0.0,2,unchecked
uncomplaining,0.0,0.0,2,checked
unconquerable,0.75,0.125,2,checked
capableness,0.0,0.625,1,unchecked
ungraciousness,0.444,0.556,0,checked
understood,0.0,0.0,2,unchecked
undrained,0.125,0.0,2,checked
disordered,0.0,0.0,0,checked
lamented,0.0,0.0,2,unchecked
bottomless,0.0,0.0,2,checked
nonarboreal,0.0,0.0,2,checked
uncharacteristic,0.0,0.0,2,checked
uncleared,0.5,0.0,0,checked
unspell,0.0,0.0,2,checked
excitable,0.25,0.25,2,unchecked
belt,0.0,0.0,2,unchecked
fair,0.0,0.0,2,unchecked
efficaciously,0.0,0.375,1,unchecked
crossed,0.0,0.0,2,unchecked
unobstructed,0.0,0.5,1,checked
disembarrassment,0.5,0.0,2,checked
unwholesome,0.75,0.125,0,checked
typicality,0.0,0.0,2,unchecked
disobedience,0.0,0.125,0,checked
nonworker,0.0,0.0,2,checked
reported,0.0,0.0,2,unchecked
unarticulated,0.625,0.0,0,checked
acquisitive,0.0,0.0,2,unchecked
logically,0.0,0.0,2,unchecked
shrinkable,0.0,0.625,1,unchecked
atypical,0.75,0.0,2,checked
nonthermal,0.25,0.0,2,checked
wearable,0.125,0.375,2,unchecked
fashionably,0.0,0.125,2,unchecked
sensational,0.0,1.0,1,unchecked
interdepartmental,0.0,0.0,2,unchecked
forgivingly,0.0,0.25,2,unchecked
credibility,0.375,0.375,2,unchecked
unalike,0.0,0.0,2,checked
arbitrable,0.0,0.0,2,unchecked
committed,0.0,0.0,2,unchecked
unbuttoned,0.125,0.0,2,checked
isotropic,0.0,0.0,2,unchecked
proportionate,0.0,0.0,2,unchecked
alterability,0.25,0.5,2,unchecked
disenchant,0.0,0.0,2,checked
acatalectic,0.0,0.125,2,checked
unready,0.5,0.125,0,checked
fold,0.0,0.125,2,unchecked
nonstandard,0.0,0.0,2,checked
artfulness,0.0,0.75,1,unchecked
courteous,0.0,0.75,1,unchecked
lucky,0.0,0.75,1,unchecked
synchronous,0.0,0.0,2,unchecked
unproved,0.125,0.25,2,checked
unfruitful,0.75,0.0,0,checked
smokeless,0.0,0.0,2,checked
arming,0.0,0.0,2,unchecked
ashamed,0.0,0.0,2,unchecked
unequipped,0.5,0.125,0,checked
unprocessed,0.75,0.0,2,checked
classical,0.0,0.0,2,unchecked
mystify,0.0,0.0,2,unchecked
demerit,0.0,0.0,0,checked
dock,0.0,0.0,2,unchecked
engage,0.0,0.0,2,unchecked
discontented,0.0,0.0,0,checked
inconsequence,0.5,0.25,0,checked
nonconformity,0.5,0.125,2,checked
disavow,0.0,0.0,2,checked
unaddicted,0.125,0.0,2,checked
undetected,0.5,0.25,2,checked
mercilessness,0.5,0.375,0,checked
indirect,0.0,0.0,2,checked
outspan,0.0,0.0,2,checked
fortunately,0.0,0.5,1,unchecked
disorganize,0.0,0.0,0,checked
unscramble,0.0,0.0,2,checked
unobligated,0.25,0.0,2,checked
disreputability,0.25,0.75,0,checked
resoluteness,0.0,0.5,1,unchecked
inferiority,0.5,0.125,0,checked
indigestible,0.625,0.0,0,checked
inexperience,0.0,0.125,0,checked
familiarity,0.0,0.0,2,unchecked
plug_in,0.0,0.0,2,unchecked
breasted,0.0,0.0,2,unchecked
upwardly,0.0,0.0,2,unchecked
eloquently,0.0,0.0,2,unchecked
unspaced,0.0,0.0,2,checked
demotion,0.0,0.0,0,checked
coherence,0.0,0.0,2,unchecked
unseductive,0.25,0.0,0,checked
inexcusably,0.0,0.0,0,checked
indistinct,0.0,0.0,2,checked
improvident,0.0,0.0,0,checked
acknowledged,0.0,0.0,2,unchecked
unregistered,0.625,0.0,2,checked
intradepartmental,0.0,0.0,2,checked
unexpired,0.625,0.0,2,checked
insurability,0.0,0.375,1,unchecked
injustice,0.0,0.0,0,checked
indoors,0.0,0.0,2,unchecked
professional,0.0,0.0,2,unchecked
ceremoniousness,0.25,0.5,2,unchecked
immoderation,0.625,0.25,0,checked
graciousness,0.0,0.625,1,unchecked
immobility,0.0,0.0,2,checked
unwaxed,0.25,0.0,2,checked
perishable,0.375,0.0,0,unchecked
transitivize,0.0,0.0,2,unchecked
illicit,0.0,0.0,0,checked
alert,0.0,0.0,2,unchecked
continued,0.375,0.0,0,unchecked
dysphemism,0.5,0.0,0,checked
demobilize,0.0,0.0,2,checked
shuttered,0.0,0.0,2,unchecked
unpainted,0.5,0.0,2,checked
indecorum,0.5,0.25,0,checked
unethical,0.75,0.0,0,checked
sensitize,0.0,0.0,2,unchecked
expediently,0.0,0.125,2,unchecked
unsympathetically,0.0,0.25,0,checked
appetizingness,0.25,0.0,2,unchecked
scripted,0.0,0.0,2,unchecked
sanitariness,0.0,0.5,1,unchecked
