,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph
122,122,unaccustomed,accustomed,un-accustomed,un,cl100k_base,"['un', 'acc', 'ustomed']",Correct,Correct,"['acc', 'ustomed']",Incorrect,Incorrect,"['un', '-', 'acc', 'ustomed']",Correct,Correct,byte_level_bpe,0,Correct
132,132,unacknowledged,acknowledged,un-acknowledged,un,cl100k_base,"['un', 'ack', 'nowled', 'ged']",Correct,Correct,"['ack', 'nowled', 'ged']",Incorrect,Incorrect,"['un', '-', 'ack', 'nowled', 'ged']",Correct,Correct,byte_level_bpe,0,Correct
142,142,unacquisitive,acquisitive,un-acquisitive,un,cl100k_base,"['un', 'ac', 'quis', 'itive']",Correct,Correct,"['ac', 'quis', 'itive']",Incorrect,Incorrect,"['un', '-ac', 'quis', 'itive']",Correct,Correct,byte_level_bpe,0,Correct
152,152,unactable,actable,un-actable,un,cl100k_base,"['un', 'actable']",Correct,Correct,['actable'],Not segmented,Not segmented,"['un', '-', 'actable']",Correct,Correct,byte_level_bpe,0,Correct
162,162,abactinal,actinal,ab-actinal,ab,cl100k_base,"['ab', 'act', 'inal']",Correct,Correct,"['act', 'inal']",Incorrect,Incorrect,"['ab', '-', 'act', 'inal']",Correct,Correct,byte_level_bpe,1,Correct
172,172,inactive,active,in-active,in,cl100k_base,['inactive'],Not segmented,Correct,['active'],Not segmented,Not segmented,"['in', '-active']",Correct,Correct,byte_level_bpe,0,Under-segmented
182,182,unadaptable,adaptable,un-adaptable,un,cl100k_base,"['un', 'ad', 'ap', 'table']",Correct,Correct,"['ad', 'ap', 'table']",Incorrect,Incorrect,"['un', '-ad', 'ap', 'table']",Correct,Correct,byte_level_bpe,0,Correct
192,192,unaddicted,addicted,un-addicted,un,cl100k_base,"['un', 'add', 'icted']",Correct,Correct,"['add', 'icted']",Incorrect,Incorrect,"['un', '-add', 'icted']",Correct,Correct,byte_level_bpe,0,Correct
202,202,nonaddictive,addictive,non-addictive,non,cl100k_base,"['non', 'add', 'ict', 'ive']",Correct,Correct,"['add', 'ict', 'ive']",Incorrect,Incorrect,"['non', '-add', 'ict', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
212,212,unaddressed,addressed,un-addressed,un,cl100k_base,"['un', 'address', 'ed']",Correct,Correct,"['address', 'ed']",Incorrect,Incorrect,"['un', '-address', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
222,222,inadequate,adequate,in-adequate,in,cl100k_base,"['in', 'ade', 'quate']",Correct,Correct,"['ade', 'quate']",Incorrect,Incorrect,"['in', '-', 'ade', 'quate']",Correct,Correct,byte_level_bpe,0,Correct
232,232,nonadhesive,adhesive,non-adhesive,non,cl100k_base,"['non', 'ad', 'hesive']",Correct,Correct,"['ad', 'hesive']",Incorrect,Incorrect,"['non', '-ad', 'hesive']",Correct,Correct,byte_level_bpe,0,Correct
242,242,maladjusted,adjusted,mal-adjusted,mal,cl100k_base,"['mal', 'adjusted']",Correct,Correct,['adjusted'],Not segmented,Not segmented,"['mal', '-adjust', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
252,252,unadjusted,adjusted,un-adjusted,un,cl100k_base,"['un', 'adjusted']",Correct,Correct,['adjusted'],Not segmented,Not segmented,"['un', '-adjust', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
262,262,inadmissible,admissible,in-admissible,in,cl100k_base,"['in', 'ad', 'missible']",Correct,Correct,"['ad', 'missible']",Incorrect,Incorrect,"['in', '-ad', 'missible']",Correct,Correct,byte_level_bpe,0,Correct
272,272,unadoptable,adoptable,un-adoptable,un,cl100k_base,"['un', 'adopt', 'able']",Correct,Correct,"['adopt', 'able']",Incorrect,Incorrect,"['un', '-', 'adopt', 'able']",Correct,Correct,byte_level_bpe,0,Correct
282,282,unadorned,adorned,un-adorned,un,cl100k_base,"['un', 'ad', 'orn', 'ed']",Correct,Correct,"['ad', 'orn', 'ed']",Incorrect,Incorrect,"['un', '-ad', 'orn', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
292,292,maladroit,adroit,mal-adroit,mal,cl100k_base,"['mal', 'ad', 'roit']",Correct,Correct,"['ad', 'roit']",Incorrect,Incorrect,"['mal', '-ad', 'roit']",Correct,Correct,byte_level_bpe,0,Correct
302,302,nonadsorbent,adsorbent,non-adsorbent,non,cl100k_base,"['non', 'ads', 'orb', 'ent']",Correct,Correct,"['ads', 'orb', 'ent']",Incorrect,Incorrect,"['non', '-', 'ads', 'orb', 'ent']",Correct,Correct,byte_level_bpe,0,Correct
312,312,disadvantageous,advantageous,dis-advantageous,dis,cl100k_base,"['dis', 'adv', 'antage', 'ous']",Correct,Correct,"['adv', 'antage', 'ous']",Incorrect,Incorrect,"['dis', '-', 'adv', 'antage', 'ous']",Correct,Correct,byte_level_bpe,0,Correct
322,322,unadventurous,adventurous,un-adventurous,un,cl100k_base,"['un', 'ad', 'vent', 'urous']",Correct,Correct,"['ad', 'vent', 'urous']",Incorrect,Incorrect,"['un', '-ad', 'vent', 'urous']",Correct,Correct,byte_level_bpe,0,Correct
332,332,inadvisable,advisable,in-advisable,in,cl100k_base,"['in', 'ad', 'vis', 'able']",Correct,Correct,"['ad', 'vis', 'able']",Incorrect,Incorrect,"['in', '-ad', 'vis', 'able']",Correct,Correct,byte_level_bpe,0,Correct
342,342,inaesthetic,aesthetic,in-aesthetic,in,cl100k_base,"['ina', 'esthetic']",Incorrect,Correct,"['a', 'esthetic']",Incorrect,Incorrect,"['in', '-a', 'esthetic']",Correct,Correct,byte_level_bpe,0,Under-segmented
352,352,unaffected,affected,un-affected,un,cl100k_base,"['un', 'affected']",Correct,Correct,['affected'],Not segmented,Not segmented,"['un', '-', 'affected']",Correct,Correct,byte_level_bpe,0,Correct
362,362,unaffixed,affixed,un-affixed,un,cl100k_base,"['un', 'aff', 'ixed']",Correct,Correct,"['aff', 'ixed']",Incorrect,Incorrect,"['un', '-aff', 'ixed']",Correct,Correct,byte_level_bpe,0,Correct
372,372,unafraid,afraid,un-afraid,un,cl100k_base,"['un', 'af', 'raid']",Correct,Correct,"['af', 'raid']",Incorrect,Incorrect,"['un', '-', 'af', 'raid']",Correct,Correct,byte_level_bpe,0,Correct
382,382,unaggressive,aggressive,un-aggressive,un,cl100k_base,"['un', 'ag', 'gressive']",Correct,Correct,"['ag', 'gressive']",Incorrect,Incorrect,"['un', '-ag', 'gressive']",Correct,Correct,byte_level_bpe,0,Correct
392,392,unagitated,agitated,un-agitated,un,cl100k_base,"['un', 'ag', 'itated']",Correct,Correct,"['ag', 'itated']",Incorrect,Incorrect,"['un', '-ag', 'itated']",Correct,Correct,byte_level_bpe,0,Correct
402,402,disagreeable,agreeable,dis-agreeable,dis,cl100k_base,"['dis', 'agree', 'able']",Correct,Correct,"['agree', 'able']",Incorrect,Incorrect,"['dis', '-ag', 'ree', 'able']",Correct,Correct,byte_level_bpe,0,Correct
412,412,unairworthy,airworthy,un-airworthy,un,cl100k_base,"['un', 'air', 'worthy']",Correct,Correct,"['air', 'worthy']",Incorrect,Incorrect,"['un', '-air', 'worthy']",Correct,Correct,byte_level_bpe,0,Correct
422,422,unalarming,alarming,un-alarming,un,cl100k_base,"['unal', 'arming']",Incorrect,Correct,"['al', 'arming']",Incorrect,Incorrect,"['un', '-al', 'arming']",Correct,Correct,byte_level_bpe,0,Under-segmented
432,432,nonalcoholic,alcoholic,non-alcoholic,non,cl100k_base,"['non', 'al', 'coholic']",Correct,Correct,"['al', 'coholic']",Incorrect,Incorrect,"['non', '-al', 'coholic']",Correct,Correct,byte_level_bpe,0,Correct
442,442,unalert,alert,un-alert,un,cl100k_base,"['un', 'alert']",Correct,Correct,['alert'],Not segmented,Not segmented,"['un', '-alert']",Correct,Correct,byte_level_bpe,0,Correct
452,452,inalienable,alienable,in-alienable,in,cl100k_base,"['inal', 'ien', 'able']",Incorrect,Correct,"['alien', 'able']",Incorrect,Incorrect,"['in', '-al', 'ien', 'able']",Correct,Correct,byte_level_bpe,1,Under-segmented
462,462,nonaligned,aligned,non-aligned,non,cl100k_base,"['non', 'aligned']",Correct,Correct,['aligned'],Not segmented,Not segmented,"['non', '-aligned']",Correct,Correct,byte_level_bpe,0,Correct
472,472,unalike,alike,un-alike,un,cl100k_base,"['unal', 'ike']",Incorrect,Correct,"['al', 'ike']",Incorrect,Incorrect,"['un', '-al', 'ike']",Correct,Correct,byte_level_bpe,0,Under-segmented
482,482,analphabetic,alphabetic,an-alphabetic,an,cl100k_base,"['an', 'alph', 'abetic']",Correct,Correct,"['alph', 'abetic']",Incorrect,Incorrect,"['an', '-al', 'ph', 'abetic']",Correct,Correct,byte_level_bpe,0,Correct
492,492,unalterable,alterable,un-alterable,un,cl100k_base,"['unal', 'ter', 'able']",Incorrect,Correct,"['alter', 'able']",Incorrect,Incorrect,"['un', '-al', 'ter', 'able']",Correct,Correct,byte_level_bpe,0,Under-segmented
502,502,unaltered,altered,un-altered,un,cl100k_base,"['unal', 'tered']",Incorrect,Correct,"['al', 'tered']",Incorrect,Incorrect,"['un', '-al', 'tered']",Correct,Correct,byte_level_bpe,0,Under-segmented
512,512,unambiguous,ambiguous,un-ambiguous,un,cl100k_base,"['un', 'ambiguous']",Correct,Correct,['ambiguous'],Not segmented,Not segmented,"['un', '-', 'ambiguous']",Correct,Correct,byte_level_bpe,0,Correct
522,522,unambitious,ambitious,un-ambitious,un,cl100k_base,"['un', 'amb', 'itious']",Correct,Correct,"['amb', 'itious']",Incorrect,Incorrect,"['un', '-', 'amb', 'itious']",Correct,Correct,byte_level_bpe,0,Correct
532,532,unamended,amended,un-amended,un,cl100k_base,"['un', 'am', 'ended']",Correct,Correct,"['am', 'ended']",Incorrect,Incorrect,"['un', '-am', 'ended']",Correct,Correct,byte_level_bpe,0,Correct
542,542,unanalyzed,analyzed,un-analyzed,un,cl100k_base,"['un', 'analy', 'zed']",Correct,Correct,"['analy', 'zed']",Incorrect,Incorrect,"['un', '-an', 'alyzed']",Correct,Correct,byte_level_bpe,0,Correct
552,552,unangry,angry,un-angry,un,cl100k_base,"['un', 'ang', 'ry']",Correct,Correct,"['ang', 'ry']",Incorrect,Incorrect,"['un', '-', 'ang', 'ry']",Correct,Correct,byte_level_bpe,0,Correct
562,562,inanimate,animate,in-animate,in,cl100k_base,"['in', 'animate']",Correct,Correct,['animate'],Not segmented,Not segmented,"['in', '-animate']",Correct,Correct,byte_level_bpe,0,Correct
572,572,unanimated,animated,un-animated,un,cl100k_base,"['un', 'animated']",Correct,Correct,['animated'],Not segmented,Not segmented,"['un', '-an', 'imated']",Correct,Correct,byte_level_bpe,0,Correct
582,582,anticlinal,synclinal,anti-clinal,anti,cl100k_base,"['antic', 'l', 'inal']",Incorrect,Correct,"['syn', 'cl', 'inal']",Incorrect,Incorrect,"['anti', '-cl', 'inal']",Correct,Correct,byte_level_bpe,1,Under-segmented
592,592,unapologetic,apologetic,un-apologetic,un,cl100k_base,"['un', 'ap', 'olo', 'getic']",Correct,Correct,"['ap', 'olo', 'getic']",Incorrect,Incorrect,"['un', '-ap', 'olo', 'getic']",Correct,Correct,byte_level_bpe,0,Correct
602,602,unappealable,appealable,un-appealable,un,cl100k_base,"['un', 'appe', 'al', 'able']",Correct,Correct,"['appe', 'al', 'able']",Incorrect,Incorrect,"['un', '-', 'appe', 'al', 'able']",Correct,Correct,byte_level_bpe,0,Correct
612,612,unappealing,appealing,un-appealing,un,cl100k_base,"['un', 'appe', 'aling']",Correct,Correct,"['appe', 'aling']",Incorrect,Incorrect,"['un', '-', 'appe', 'aling']",Correct,Correct,byte_level_bpe,0,Correct
622,622,unappendaged,appendaged,un-appendaged,un,cl100k_base,"['un', 'append', 'aged']",Correct,Correct,"['append', 'aged']",Incorrect,Incorrect,"['un', '-append', 'aged']",Correct,Correct,byte_level_bpe,0,Correct
632,632,unappetizing,appetizing,un-appetizing,un,cl100k_base,"['un', 'app', 'et', 'izing']",Correct,Correct,"['app', 'et', 'izing']",Incorrect,Incorrect,"['un', '-app', 'et', 'izing']",Correct,Correct,byte_level_bpe,0,Correct
642,642,unapproachable,approachable,un-approachable,un,cl100k_base,"['un', 'appro', 'achable']",Correct,Correct,"['appro', 'achable']",Incorrect,Incorrect,"['un', '-', 'appro', 'achable']",Correct,Correct,byte_level_bpe,0,Correct
652,652,inappropriate,appropriate,in-appropriate,in,cl100k_base,"['in', 'appropriate']",Correct,Correct,['appropriate'],Not segmented,Not segmented,"['in', '-app', 'ropriate']",Correct,Correct,byte_level_bpe,0,Correct
662,662,nonarbitrable,arbitrable,non-arbitrable,non,cl100k_base,"['non', 'ar', 'bit', 'r', 'able']",Correct,Correct,"['ar', 'bit', 'r', 'able']",Incorrect,Incorrect,"['non', '-ar', 'bit', 'r', 'able']",Correct,Correct,byte_level_bpe,0,Correct
672,672,nonarbitrary,arbitrary,non-arbitrary,non,cl100k_base,"['non', 'ar', 'bitrary']",Correct,Correct,"['ar', 'bitrary']",Incorrect,Incorrect,"['non', '-ar', 'bitrary']",Correct,Correct,byte_level_bpe,0,Correct
682,682,nonarboreal,arboreal,non-arboreal,non,cl100k_base,"['non', 'arb', 'oreal']",Correct,Correct,"['arb', 'oreal']",Incorrect,Incorrect,"['non', '-ar', 'b', 'oreal']",Correct,Correct,byte_level_bpe,0,Correct
692,692,unargumentative,argumentative,un-argumentative,un,cl100k_base,"['un', 'argument', 'ative']",Correct,Correct,"['argument', 'ative']",Incorrect,Incorrect,"['un', '-', 'argument', 'ative']",Correct,Correct,byte_level_bpe,0,Correct
702,702,armless,armed,arm-less,less,cl100k_base,"['arm', 'less']",Correct,Correct,['armed'],Not segmented,Not segmented,"['arm', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
712,712,unarmed,armed,un-armed,un,cl100k_base,"['un', 'armed']",Correct,Correct,['armed'],Not segmented,Not segmented,"['un', '-', 'armed']",Correct,Correct,byte_level_bpe,0,Correct
722,722,unarmored,armored,un-armored,un,cl100k_base,"['un', 'arm', 'ored']",Correct,Correct,"['arm', 'ored']",Incorrect,Incorrect,"['un', '-arm', 'ored']",Correct,Correct,byte_level_bpe,0,Correct
732,732,disarranged,arranged,dis-arranged,dis,cl100k_base,"['dis', 'arr', 'anged']",Correct,Correct,"['arr', 'anged']",Incorrect,Incorrect,"['dis', '-', 'arr', 'anged']",Correct,Correct,byte_level_bpe,0,Correct
742,742,subartesian,artesian,sub-artesian,sub,cl100k_base,"['sub', 'art', 'esian']",Correct,Correct,"['art', 'esian']",Incorrect,Incorrect,"['sub', '-art', 'esian']",Correct,Correct,byte_level_bpe,1,Correct
752,752,artless,artful,art-less,less,cl100k_base,"['art', 'less']",Correct,Correct,"['art', 'ful']",Incorrect,Incorrect,"['art', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
762,762,inarticulate,articulate,in-articulate,in,cl100k_base,"['in', 'artic', 'ulate']",Correct,Correct,"['artic', 'ulate']",Incorrect,Incorrect,"['in', '-art', 'ic', 'ulate']",Correct,Correct,byte_level_bpe,0,Correct
772,772,unarticulated,articulated,un-articulated,un,cl100k_base,"['un', 'artic', 'ulated']",Correct,Correct,"['artic', 'ulated']",Incorrect,Incorrect,"['un', '-art', 'ic', 'ulated']",Correct,Correct,byte_level_bpe,0,Correct
782,782,descending,ascending,de-scending,de,cl100k_base,['descending'],Not segmented,Correct,['ascending'],Not segmented,Not segmented,"['de', '-sc', 'ending']",Correct,Correct,byte_level_bpe,1,Under-segmented
792,792,unashamed,ashamed,un-ashamed,un,cl100k_base,"['un', 'ash', 'amed']",Correct,Correct,"['ash', 'amed']",Incorrect,Incorrect,"['un', '-', 'ash', 'amed']",Correct,Correct,byte_level_bpe,0,Correct
802,802,unassertive,assertive,un-assertive,un,cl100k_base,"['un', 'assert', 'ive']",Correct,Correct,"['assert', 'ive']",Incorrect,Incorrect,"['un', '-', 'assert', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
812,812,unassigned,assigned,un-assigned,un,cl100k_base,"['un', 'assigned']",Correct,Correct,['assigned'],Not segmented,Not segmented,"['un', '-ass', 'igned']",Correct,Correct,byte_level_bpe,0,Correct
822,822,unassisted,assisted,un-assisted,un,cl100k_base,"['un', 'ass', 'isted']",Correct,Correct,"['ass', 'isted']",Incorrect,Incorrect,"['un', '-ass', 'isted']",Correct,Correct,byte_level_bpe,0,Correct
832,832,nonassociative,associative,non-associative,non,cl100k_base,"['non', 'associ', 'ative']",Correct,Correct,"['associ', 'ative']",Incorrect,Incorrect,"['non', '-', 'associ', 'ative']",Correct,Correct,byte_level_bpe,0,Correct
842,842,nonastringent,astringent,non-astringent,non,cl100k_base,"['non', 'a', 'string', 'ent']",Correct,Correct,"['a', 'string', 'ent']",Incorrect,Incorrect,"['non', '-a', 'string', 'ent']",Correct,Correct,byte_level_bpe,0,Correct
852,852,hypertrophied,atrophied,hyper-trophied,hyper,cl100k_base,"['hyp', 'ert', 'roph', 'ied']",Incorrect,Incorrect,"['at', 'roph', 'ied']",Incorrect,Incorrect,"['hyper', '-t', 'roph', 'ied']",Correct,Correct,byte_level_bpe,1,Over-segmented
862,862,detachable,attachable,de-tachable,de,cl100k_base,"['detach', 'able']",Incorrect,Correct,"['attach', 'able']",Incorrect,Incorrect,"['de', '-t', 'achable']",Correct,Correct,byte_level_bpe,1,Under-segmented
872,872,detached,attached,de-tached,de,cl100k_base,"['det', 'ached']",Incorrect,Correct,['attached'],Not segmented,Not segmented,"['de', '-t', 'ached']",Correct,Correct,byte_level_bpe,0,Under-segmented
882,882,unattached,attached,un-attached,un,cl100k_base,"['un', 'attached']",Correct,Correct,['attached'],Not segmented,Not segmented,"['un', '-', 'attached']",Correct,Correct,byte_level_bpe,0,Correct
892,892,inattentive,attentive,in-attentive,in,cl100k_base,"['in', 'att', 'ent', 'ive']",Correct,Correct,"['att', 'ent', 'ive']",Incorrect,Incorrect,"['in', '-', 'att', 'ent', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
902,902,unattractive,attractive,un-attractive,un,cl100k_base,"['un', 'at', 'tractive']",Correct,Correct,"['at', 'tractive']",Incorrect,Incorrect,"['un', '-at', 'tractive']",Correct,Correct,byte_level_bpe,0,Correct
912,912,unattributable,attributable,un-attributable,un,cl100k_base,"['un', 'attrib', 'utable']",Correct,Correct,"['attrib', 'utable']",Incorrect,Incorrect,"['un', '-at', 'trib', 'utable']",Correct,Correct,byte_level_bpe,0,Correct
922,922,inaudible,audible,in-audible,in,cl100k_base,"['ina', 'ud', 'ible']",Incorrect,Correct,"['aud', 'ible']",Incorrect,Incorrect,"['in', '-a', 'ud', 'ible']",Correct,Correct,byte_level_bpe,0,Under-segmented
932,932,inauspicious,auspicious,in-auspicious,in,cl100k_base,"['ina', 'usp', 'icious']",Incorrect,Correct,"['aus', 'p', 'icious']",Incorrect,Incorrect,"['in', '-a', 'usp', 'icious']",Correct,Correct,byte_level_bpe,0,Under-segmented
942,942,unauthorized,authorized,un-authorized,un,cl100k_base,"['un', 'authorized']",Correct,Correct,['authorized'],Not segmented,Not segmented,"['un', '-', 'authorized']",Correct,Correct,byte_level_bpe,0,Correct
952,952,unavailable,available,un-available,un,cl100k_base,"['un', 'available']",Correct,Correct,['available'],Not segmented,Not segmented,"['un', '-available']",Correct,Correct,byte_level_bpe,0,Correct
962,962,unavenged,avenged,un-avenged,un,cl100k_base,"['un', 'av', 'eng', 'ed']",Correct,Correct,"['av', 'eng', 'ed']",Incorrect,Incorrect,"['un', '-', 'av', 'eng', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
972,972,unawakened,awakened,un-awakened,un,cl100k_base,"['un', 'aw', 'aken', 'ed']",Correct,Correct,"['aw', 'aken', 'ed']",Incorrect,Incorrect,"['un', '-', 'aw', 'aken', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
982,982,unaware,aware,un-aware,un,cl100k_base,"['un', 'aware']",Correct,Correct,['aware'],Not segmented,Not segmented,"['un', '-aware']",Correct,Correct,byte_level_bpe,0,Correct
992,992,unawed,awed,un-awed,un,cl100k_base,"['un', 'aw', 'ed']",Correct,Correct,"['aw', 'ed']",Incorrect,Incorrect,"['un', '-', 'aw', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
1002,1002,awnless,awned,awn-less,less,cl100k_base,"['awn', 'less']",Correct,Correct,"['awn', 'ed']",Incorrect,Incorrect,"['awn', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1012,1012,backless,backed,back-less,less,cl100k_base,"['back', 'less']",Correct,Correct,"['back', 'ed']",Incorrect,Incorrect,"['back', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1022,1022,unbalanced,balanced,un-balanced,un,cl100k_base,"['un', 'balanced']",Correct,Correct,['balanced'],Not segmented,Not segmented,"['un', '-bal', 'anced']",Correct,Correct,byte_level_bpe,0,Correct
1032,1032,unbalconied,balconied,un-balconied,un,cl100k_base,"['un', 'bal', 'con', 'ied']",Correct,Correct,"['bal', 'con', 'ied']",Incorrect,Incorrect,"['un', '-b', 'alcon', 'ied']",Correct,Correct,byte_level_bpe,0,Correct
1042,1042,unbanded,banded,un-banded,un,cl100k_base,"['un', 'b', 'anded']",Correct,Correct,"['b', 'anded']",Incorrect,Incorrect,"['un', '-b', 'anded']",Correct,Correct,byte_level_bpe,0,Correct
1052,1052,unbaptized,baptized,un-baptized,un,cl100k_base,"['un', 'b', 'apt', 'ized']",Correct,Correct,"['b', 'apt', 'ized']",Incorrect,Incorrect,"['un', '-b', 'apt', 'ized']",Correct,Correct,byte_level_bpe,0,Correct
1062,1062,unbarreled,barreled,un-barreled,un,cl100k_base,"['un', 'bar', 're', 'led']",Correct,Correct,"['bar', 're', 'led']",Incorrect,Incorrect,"['un', '-bar', 're', 'led']",Correct,Correct,byte_level_bpe,0,Correct
1072,1072,beakless,beaked,beak-less,less,cl100k_base,"['be', 'ak', 'less']",Correct,Correct,"['be', 'aked']",Incorrect,Incorrect,"['be', 'ak', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1082,1082,nonbearing,bearing,non-bearing,non,cl100k_base,"['non', 'bearing']",Correct,Correct,['bearing'],Not segmented,Not segmented,"['non', '-bearing']",Correct,Correct,byte_level_bpe,0,Correct
1092,1092,bedless,bedded,bed-less,less,cl100k_base,"['bed', 'less']",Correct,Correct,"['bed', 'ded']",Incorrect,Incorrect,"['bed', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1102,1102,bellyless,bellied,belly-less,less,cl100k_base,"['bel', 'ly', 'less']",Correct,Correct,"['bell', 'ied']",Incorrect,Incorrect,"['bel', 'ly', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1112,1112,unbelted,belted,un-belted,un,cl100k_base,"['un', 'belt', 'ed']",Correct,Correct,"['belt', 'ed']",Incorrect,Incorrect,"['un', '-b', 'elt', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
1122,1122,unbeneficed,beneficed,un-beneficed,un,cl100k_base,"['un', 'benef', 'iced']",Correct,Correct,"['benef', 'iced']",Incorrect,Incorrect,"['un', '-b', 'enef', 'iced']",Correct,Correct,byte_level_bpe,0,Correct
1132,1132,maleficent,beneficent,mal-eficent,mal,cl100k_base,"['male', 'fic', 'ent']",Incorrect,Correct,"['benef', 'ic', 'ent']",Incorrect,Incorrect,"['mal', '-', 'ef', 'ic', 'ent']",Correct,Correct,byte_level_bpe,1,Under-segmented
1142,1142,malign,benign,mal-ign,mal,cl100k_base,"['m', 'align']",Incorrect,Incorrect,"['ben', 'ign']",Incorrect,Incorrect,"['mal', '-', 'ign']",Correct,Correct,byte_level_bpe,1,Over-segmented
1152,1152,malignant,benign,mal-ignant,mal,cl100k_base,"['m', 'align', 'ant']",Incorrect,Incorrect,"['ben', 'ign']",Incorrect,Incorrect,"['mal', '-', 'ignant']",Correct,Correct,byte_level_bpe,1,Over-segmented
1162,1162,bibless,bibbed,bib-less,less,cl100k_base,"['bib', 'less']",Correct,Correct,"['bib', 'bed']",Incorrect,Incorrect,"['bib', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
1172,1172,unicameral,bicameral,un-icameral,un,cl100k_base,"['unic', 'am', 'eral']",Incorrect,Correct,"['bic', 'am', 'eral']",Incorrect,Incorrect,"['un', '-', 'ic', 'am', 'eral']",Correct,Correct,byte_level_bpe,1,Under-segmented
1182,1182,unimodal,bimodal,un-imodal,un,cl100k_base,"['un', 'im', 'odal']",Correct,Correct,"['b', 'im', 'odal']",Incorrect,Incorrect,"['un', '-im', 'odal']",Correct,Correct,byte_level_bpe,1,Correct
