word,affix,label,hyphen
dishearten,dis,0,dis-hearten
outboard,out,0,out-board
deflationary,de,0,de-flationary
descend,de,0,de-scend
talented,-,1,-
unimpressively,un,0,un-impressively
unlivable,un,0,un-livable
availability,-,1,-
palatable,-,1,-
intervention,-,1,-
permissiveness,-,1,-
unfilled,un,0,un-filled
unsanitariness,un,0,un-sanitariness
unbalanced,un,0,un-balanced
unprotected,un,0,un-protected
profitably,-,1,-
pleasingness,-,1,-
confined,-,1,-
discriminating,-,1,-
bloody,-,1,-
perfection,-,1,-
segregation,-,1,-
partiality,-,1,-
unenlightenment,un,0,un-enlightenment
nonlinguistic,non,0,non-linguistic
refined,-,1,-
toxic,-,1,-
unenthusiastic,un,0,un-enthusiastic
nonmonotonic,non,0,non-monotonic
gregarious,-,1,-
capacity,-,1,-
nonreticulate,non,0,non-reticulate
humidify,-,1,-
discourtesy,dis,0,dis-courtesy
studied,-,1,-
impermeability,im,0,im-permeability
nonindustrial,non,0,non-industrial
defeated,-,1,-
incorporeality,in,0,in-corporeality
practicability,-,1,-
unscientific,un,0,un-scientific
structured,-,1,-
unshuttered,un,0,un-shuttered
constricted,-,1,-
mitigated,-,1,-
harmonic,-,1,-
topless,less,0,top-less
innocuous,in,0,in-nocuous
unpaved,un,0,un-paved
honorableness,-,1,-
malicious,-,1,-
inexcusably,in,0,in-excusably
reverberant,-,1,-
overstate,-,1,-
ingenuous,-,1,-
expedient,-,1,-
successfully,-,1,-
dysphoria,dys,0,dys-phoria
inclined,-,1,-
indehiscent,in,0,in-dehiscent
appealingly,-,1,-
desynchronize,de,0,de-synchronize
uncompromising,un,0,un-compromising
nonfissile,non,0,non-fissile
profitable,-,1,-
adequate,-,1,-
injured,-,1,-
human,-,1,-
unevenness,un,0,un-evenness
iodinate,-,1,-
germy,-,1,-
unseasonably,un,0,un-seasonably
steroidal,-,1,-
convenient,-,1,-
undemanding,un,0,un-demanding
downgrade,down,0,down-grade
inconvertible,in,0,in-convertible
fold,-,1,-
adiabatic,a,0,a-diabatic
respectable,-,1,-
traditional,-,1,-
immodest,im,0,im-modest
ashamed,-,1,-
mortality,-,1,-
hyperparathyroidism,-,1,-
unhealthful,un,0,un-healthful
auspiciousness,-,1,-
unendowed,un,0,un-endowed
logical,-,1,-
perceptive,-,1,-
sheared,-,1,-
detach,de,0,de-tach
weighty,-,1,-
malted,-,1,-
tidy,-,1,-
inconsequentially,in,0,in-consequentially
demilitarize,de,0,de-militarize
achromatic,a,0,a-chromatic
silenced,-,1,-
overestimate,-,1,-
unveil,un,0,un-veil
unfaithfully,un,0,un-faithfully
passable,-,1,-
fixed,-,1,-
inorganically,in,0,in-organically
high_season,-,1,-
unsavory,un,0,un-savory
unsheathed,un,0,un-sheathed
materialize,-,1,-
inflexibility,in,0,in-flexibility
detribalization,de,0,de-tribalization
uncousinly,un,0,un-cousinly
shapely,-,1,-
lidded,-,1,-
courtesy,-,1,-
extrasensory,extra,0,extra-sensory
unpleasantness,un,0,un-pleasantness
converge,-,1,-
influx,-,1,-
unpublishable,un,0,un-publishable
unhurriedly,un,0,un-hurriedly
unfit,un,0,un-fit
unlamented,un,0,un-lamented
subordination,-,1,-
measurable,-,1,-
caulescent,-,1,-
indecorousness,in,0,in-decorousness
salinate,-,1,-
uncertain,un,0,un-certain
unassertively,un,0,un-assertively
convincing,-,1,-
chondritic,-,1,-
periodic,-,1,-
uninhibited,un,0,un-inhibited
unpremeditated,un,0,un-premeditated
tongueless,less,0,tongue-less
unmitigated,un,0,un-mitigated
implausibility,im,0,im-plausibility
undress,un,0,un-dress
artfulness,-,1,-
established,-,1,-
unscrew,un,0,un-screw
fatty,-,1,-
unfretted,un,0,un-fretted
bibless,less,0,bib-less
cut,-,1,-
overdress,-,1,-
impolitic,im,0,im-politic
unfold,un,0,un-fold
equilibrium,-,1,-
kind,-,1,-
dependent,-,1,-
unshaven,un,0,un-shaven
insecurity,in,0,in-security
unchartered,un,0,un-chartered
unreflected,un,0,un-reflected
unclip,un,0,un-clip
injustice,in,0,in-justice
unrestrictive,un,0,un-restrictive
placable,-,1,-
organized,-,1,-
noncrystalline,non,0,non-crystalline
chain,-,1,-
unmuzzle,un,0,un-muzzle
forgivingly,-,1,-
nonionic,non,0,non-ionic
impolite,im,0,im-polite
undomestic,un,0,un-domestic
encumbered,-,1,-
dematerialize,de,0,de-materialize
irreparable,ir,0,ir-reparable
inexpedience,in,0,in-expedience
ineligible,in,0,in-eligible
unfamiliar,un,0,un-familiar
addition,-,1,-
educated,-,1,-
unoccupied,un,0,un-occupied
insatiate,in,0,in-satiate
non-involvement,non,0,non--involvement
carpellate,-,1,-
credibly,-,1,-
fashionable,-,1,-
aboral,ab,0,ab-oral
unsaponified,un,0,un-saponified
sanely,-,1,-
carpeted,-,1,-
ceremoniousness,-,1,-
cared-for,-,1,-
hopefulness,-,1,-
efficiency,-,1,-
thoughtlessly,less,0,thought-lessly
actable,-,1,-
complete,-,1,-
truthful,-,1,-
unclear,un,0,un-clear
anaphrodisia,an,0,an-aphrodisia
fortunately,-,1,-
comprehensibility,-,1,-
unvariedness,un,0,un-variedness
institutionalized,-,1,-
indirect,in,0,in-direct
lossless,less,0,loss-less
esteem,-,1,-
equitable,-,1,-
hypoglycemia,hypo,0,hypo-glycemia
melodious,-,1,-
disservice,dis,0,dis-service
submersible,-,1,-
invasive,-,1,-
encouragement,-,1,-
disarrange,dis,0,dis-arrange
desynchronise,de,0,de-synchronise
violable,-,1,-
thoughtlessness,less,0,thought-lessness
imprecise,im,0,im-precise
agreeableness,-,1,-
inaction,in,0,in-action
instructively,-,1,-
unpolished,un,0,un-polished
unwilling,un,0,un-willing
malfunctioning,mal,0,mal-functioning
truthfully,-,1,-
activator,-,1,-
incorrectly,in,0,in-correctly
inflected,-,1,-
eligibility,-,1,-
unenlightening,un,0,un-enlightening
unportable,un,0,un-portable
unseaworthy,un,0,un-seaworthy
tonic,-,1,-
unscrupulous,un,0,un-scrupulous
disbelieve,dis,0,dis-believe
cork,-,1,-
just,-,1,-
confirmed,-,1,-
convertibility,-,1,-
increment,in,0,in-crement
inquiring,-,1,-
adventurous,-,1,-
indicate,-,1,-
disobey,dis,0,dis-obey
uncomplainingly,un,0,un-complainingly
nonmetallic,non,0,non-metallic
moving,-,1,-
inelegance,in,0,in-elegance
nonsingular_matrix,non,0,non-singular_matrix
fruitlessly,less,0,fruit-lessly
unsocial,un,0,un-social
timeliness,-,1,-
downwards,down,0,down-wards
dress,-,1,-
irresponsible,ir,0,ir-responsible
inerrancy,in,0,in-errancy
eventful,-,1,-
compressible,-,1,-
inanimate,in,0,in-animate
angry,-,1,-
demagnetize,de,0,de-magnetize
gutsiness,-,1,-
tubeless,less,0,tube-less
disorienting,dis,0,dis-orienting
unconvincingly,un,0,un-convincingly
born,-,1,-
malfunction,mal,0,mal-function
inefficiently,in,0,in-efficiently
overtime,over,0,over-time
unedifying,un,0,un-edifying
consistently,-,1,-
unconscious,un,0,un-conscious
immoderation,im,0,im-moderation
unblended,un,0,un-blended
unaggressive,un,0,un-aggressive
laureled,-,1,-
curable,-,1,-
uninformative,un,0,un-informative
unskillfulness,un,0,un-skillfulness
passerine,-,1,-
uncooperative,un,0,un-cooperative
unfueled,un,0,un-fueled
equitably,-,1,-
responsibility,-,1,-
dishonestly,dis,0,dis-honestly
pigmentation,-,1,-
agree,-,1,-
grateful,-,1,-
infelicitously,in,0,in-felicitously
abnormal,ab,0,ab-normal
disassemble,dis,0,dis-assemble
disorderly,dis,0,dis-orderly
incompetent,in,0,in-competent
sensitiveness,-,1,-
adaptability,-,1,-
activity,-,1,-
loving,-,1,-
clip,-,1,-
intractability,in,0,in-tractability
unrequested,un,0,un-requested
decorousness,-,1,-
spherical,-,1,-
uninstructively,un,0,un-instructively
dejected,de,0,de-jected
rewarding,-,1,-
categorem,-,1,-
orad,-,1,-
inelastic,in,0,in-elastic
stabilization,-,1,-
cultivated,-,1,-
fearlessly,less,0,fear-lessly
unchain,un,0,un-chain
de-energize,de,0,de--energize
emigrate,-,1,-
unlabeled,un,0,un-labeled
healthy,-,1,-
untempered,un,0,un-tempered
dishonorable,dis,0,dis-honorable
preventable,-,1,-
morality,-,1,-
wire,-,1,-
on-line,-,1,-
corrected,-,1,-
reputably,-,1,-
adjusted,-,1,-
articulate,-,1,-
diversified,-,1,-
nonmoving,non,0,non-moving
lubricated,-,1,-
logicality,-,1,-
unstableness,un,0,un-stableness
known,-,1,-
driver,-,1,-
destabilization,de,0,de-stabilization
satiate,-,1,-
reputability,-,1,-
undescriptive,un,0,un-descriptive
tolerance,-,1,-
paranormal,para,0,para-normal
importance,-,1,-
aphrodisia,-,1,-
continent,-,1,-
disloyally,dis,0,dis-loyally
traceable,-,1,-
injudiciously,in,0,in-judiciously
approval,-,1,-
unadorned,un,0,un-adorned
fretted,-,1,-
inexpensiveness,in,0,in-expensiveness
approbation,-,1,-
convergent,-,1,-
steadily,-,1,-
centralizing,-,1,-
unfriendliness,un,0,un-friendliness
incivility,in,0,in-civility
sleeveless,less,0,sleeve-less
anticholinergic,anti,0,anti-cholinergic
sufficiently,-,1,-
unmerited,un,0,un-merited
crowned,-,1,-
inconsiderable,in,0,in-considerable
unsensational,un,0,un-sensational
informality,in,0,in-formality
loyal,-,1,-
off-street,off,0,off--street
depreciate,de,0,de-preciate
immutableness,im,0,im-mutableness
artful,-,1,-
unflattering,un,0,un-flattering
unappendaged,un,0,un-appendaged
nonclassical,non,0,non-classical
nonastringent,non,0,non-astringent
breastless,less,0,breast-less
deflationary_spiral,de,0,de-flationary_spiral
unambitious,un,0,un-ambitious
fashionably,-,1,-
rentable,-,1,-
feasibility,-,1,-
prehensile,-,1,-
unwritten,un,0,un-written
odourise,-,1,-
believingly,-,1,-
intelligibility,-,1,-
believe,-,1,-
uncomfortable,un,0,un-comfortable
enlightened,-,1,-
sportingly,-,1,-
shuttered,-,1,-
exportable,-,1,-
committed,-,1,-
hyperthermia,-,1,-
unweaned,un,0,un-weaned
thoughtful,-,1,-
devitalize,de,0,de-vitalize
statesmanlike,-,1,-
excusably,-,1,-
endowed,-,1,-
starry,-,1,-
unsmilingly,un,0,un-smilingly
undercharge,under,0,under-charge
decriminalization,de,0,de-criminalization
uncontested,un,0,un-contested
disembarrassment,dis,0,dis-embarrassment
unproved,un,0,un-proved
unsympathetic,un,0,un-sympathetic
reflective,-,1,-
noncausative,non,0,non-causative
familiarity,-,1,-
benevolently,-,1,-
unofficially,un,0,un-officially
stableness,-,1,-
nonunion,non,0,non-union
undeveloped,un,0,un-developed
indigestibility,in,0,in-digestibility
disavow,dis,0,dis-avow
thinkable,-,1,-
expected,-,1,-
ungraciously,un,0,un-graciously
unobtrusiveness,un,0,un-obtrusiveness
uninvolved,un,0,un-involved
derestrict,de,0,de-restrict
composure,-,1,-
inefficient,in,0,in-efficient
undeniable,un,0,un-deniable
hypertensive,hyper,0,hyper-tensive
undesirable,un,0,un-desirable
solvency,-,1,-
nonspeaking,non,0,non-speaking
acceptably,-,1,-
inconclusiveness,in,0,in-conclusiveness
variable,-,1,-
misbehave,mis,0,mis-behave
gratitude,-,1,-
descriptive,-,1,-
transitivize,-,1,-
assertive,-,1,-
grassless,less,0,grass-less
operational,-,1,-
resident,-,1,-
activation,-,1,-
sealed,-,1,-
irresolutely,ir,0,ir-resolutely
adhesive,-,1,-
clearness,-,1,-
paintable,-,1,-
inner,in,0,in-ner
unknowingly,un,0,un-knowingly
ascending,-,1,-
centralise,-,1,-
undedicated,un,0,un-dedicated
unperceptive,un,0,un-perceptive
inattention,in,0,in-attention
literate,-,1,-
inward,-,1,-
backless,less,0,back-less
constant,-,1,-
externally,-,1,-
unwire,un,0,un-wire
pleasantness,-,1,-
disorganize,dis,0,dis-organize
maleficent,mal,0,mal-eficent
destructiveness,de,0,de-structiveness
proportionately,-,1,-
residential,-,1,-
tonality,-,1,-
likelihood,-,1,-
dissatisfy,dis,0,dis-satisfy
unscheduled,un,0,un-scheduled
legless,less,0,leg-less
abridged,-,1,-
questionable,-,1,-
defense,de,0,de-fense
convenience,-,1,-
branchy,-,1,-
illegible,il,0,il-legible
shared,-,1,-
muzzle,-,1,-
tastefully,-,1,-
invalid,in,0,in-valid
undramatically,un,0,un-dramatically
unclothed,un,0,un-clothed
uncomplaining,un,0,un-complaining
unencumbered,un,0,un-encumbered
respectfully,-,1,-
attached,-,1,-
unplayful,un,0,un-playful
insignificance,in,0,in-significance
rifled,-,1,-
crannied,-,1,-
incompleteness,in,0,in-completeness
requested,-,1,-
variedness,-,1,-
nonharmonic,non,0,non-harmonic
deductive,de,0,de-ductive
unoriginality,un,0,un-originality
assent,-,1,-
irrelevance,ir,0,ir-relevance
unstrap,un,0,un-strap
disrespectfully,dis,0,dis-respectfully
misfortune,mis,0,mis-fortune
seamanlike,-,1,-
effervescent,-,1,-
unpleasant,un,0,un-pleasant
destructibility,-,1,-
retentive,-,1,-
licitness,-,1,-
denaturalize,de,0,de-naturalize
eared,-,1,-
decorous,-,1,-
unfruitful,un,0,un-fruitful
quotable,-,1,-
incompressibility,in,0,in-compressibility
pretentiousness,-,1,-
respectful,-,1,-
legibility,-,1,-
tribalisation,-,1,-
uninterested,un,0,un-interested
nonfat,non,0,non-fat
symmetrically,-,1,-
unkind,un,0,un-kind
disincentive,dis,0,dis-incentive
appetizingness,-,1,-
carelessness,less,0,care-lessness
nonuniformity,non,0,non-uniformity
particulate,-,1,-
obstructed,-,1,-
legged,-,1,-
unreasonable,un,0,un-reasonable
uncleared,un,0,un-cleared
inferior,in,0,in-ferior
inequitable,in,0,in-equitable
dystopian,dys,0,dys-topian
woody,-,1,-
unsheared,un,0,un-sheared
undeciphered,un,0,un-deciphered
oiled,-,1,-
malnourished,mal,0,mal-nourished
conveniently,-,1,-
attributable,-,1,-
classified,-,1,-
indication,-,1,-
convinced,-,1,-
mated,-,1,-
attention,-,1,-
untune,un,0,un-tune
underhand,under,0,under-hand
unparented,un,0,un-parented
unclutter,un,0,un-clutter
unfurl,un,0,un-furl
sexy,-,1,-
nonrepresentative,non,0,non-representative
tactlessly,less,0,tact-lessly
relevant,-,1,-
ovulation,-,1,-
precisely,-,1,-
unsurprising,un,0,un-surprising
inappropriately,in,0,in-appropriately
careless,less,0,care-less
undiscriminating,un,0,un-discriminating
irresistible,ir,0,ir-resistible
inconsistency,in,0,in-consistency
obtrusively,-,1,-
sanitary,-,1,-
loved,-,1,-
unbrainwashed,un,0,un-brainwashed
disproportionately,dis,0,dis-proportionately
utopian,-,1,-
inappropriateness,in,0,in-appropriateness
inspiring,-,1,-
offside,off,0,off-side
sexual,-,1,-
equal,-,1,-
wellness,-,1,-
effectually,-,1,-
association,-,1,-
diplomatically,-,1,-
fearlessness,less,0,fear-lessness
unavailable,un,0,un-available
certain,-,1,-
advisable,-,1,-
amended,-,1,-
dispensability,-,1,-
assembly,-,1,-
modestly,-,1,-
compartmented,-,1,-
unclassified,un,0,un-classified
unfastened,un,0,un-fastened
delineated,-,1,-
unopposable,un,0,un-opposable
sensational,-,1,-
indecisive,in,0,in-decisive
demagnetise,de,0,de-magnetise
profitability,-,1,-
dramatically,-,1,-
spell,-,1,-
hypervolemia,-,1,-
meatless,less,0,meat-less
outlaw,out,0,out-law
forgiving,-,1,-
uncombined,un,0,un-combined
surprised,-,1,-
unresentful,un,0,un-resentful
congruent,-,1,-
fathomable,-,1,-
emulsify,-,1,-
anisotropic,an,0,an-isotropic
nondriver,non,0,non-driver
deceive,-,1,-
unpropitiousness,un,0,un-propitiousness
pack,-,1,-
uncoil,un,0,un-coil
continuance,-,1,-
conductive,-,1,-
untidy,un,0,un-tidy
sound,-,1,-
unsoured,un,0,un-soured
reliable,-,1,-
humane,-,1,-
cover,-,1,-
arming,-,1,-
pardonable,-,1,-
impropriety,im,0,im-propriety
dock,-,1,-
loyalty,-,1,-
originality,-,1,-
limited,-,1,-
continuation,-,1,-
inpatient,-,1,-
buckle,-,1,-
unchristian,un,0,un-christian
incarnate,-,1,-
nonspecific,non,0,non-specific
uncritically,un,0,un-critically
desynchronization,de,0,de-synchronization
ponderable,-,1,-
registered,-,1,-
nonaligned,non,0,non-aligned
matched,-,1,-
nonviolently,non,0,non-violently
undemocratic,un,0,un-democratic
unprofitably,un,0,un-profitably
patience,-,1,-
odorless,less,0,odor-less
unambiguous,un,0,un-ambiguous
inaccessibility,in,0,in-accessibility
convergency,-,1,-
unattractive,un,0,un-attractive
shockable,-,1,-
landed,-,1,-
explode,-,1,-
nonconformity,non,0,non-conformity
discontinuous,dis,0,dis-continuous
overstatement,-,1,-
enlightening,-,1,-
unsupportive,un,0,un-supportive
magnetize,-,1,-
undrinkable,un,0,un-drinkable
dependability,-,1,-
perfectibility,-,1,-
willing,-,1,-
unsoundness,un,0,un-soundness
uncreativeness,un,0,un-creativeness
de-energise,de,0,de--energise
imprecisely,im,0,im-precisely
addressed,-,1,-
soleless,less,0,sole-less
collective,-,1,-
unworldly,un,0,un-worldly
unconstricted,un,0,un-constricted
restraint,-,1,-
insubstantiality,in,0,in-substantiality
merciless,less,0,merci-less
nationalization,-,1,-
unknot,un,0,un-knot
carelessly,less,0,care-lessly
hypersomnia,-,1,-
lossy,-,1,-
unrifled,un,0,un-rifled
powerless,less,0,power-less
unsheathe,un,0,un-sheathe
powerfulness,-,1,-
restrict,-,1,-
incompressible,in,0,in-compressible
reconcilable,-,1,-
distinct,-,1,-
uncultivated,un,0,un-cultivated
strain,-,1,-
disembark,dis,0,dis-embark
imperviousness,im,0,im-perviousness
cholinergic,-,1,-
incentive,-,1,-
inactive,in,0,in-active
malignancy,mal,0,mal-ignancy
unfathomable,un,0,un-fathomable
congruousness,-,1,-
excitingly,-,1,-
disequilibrium,dis,0,dis-equilibrium
irreducible,ir,0,ir-reducible
commercial,-,1,-
inconvertibility,in,0,in-convertibility
justice,-,1,-
tracked,-,1,-
helpful,-,1,-
misconstruction,mis,0,mis-construction
trimmed,-,1,-
moonless,less,0,moon-less
possible,-,1,-
waxed,-,1,-
adequately,-,1,-
stable,-,1,-
moved,-,1,-
unleaded_gasoline,un,0,un-leaded_gasoline
opposable,-,1,-
unremarkably,un,0,un-remarkably
palatably,-,1,-
upgrade,-,1,-
logically,-,1,-
consideration,-,1,-
discipline,-,1,-
unacceptably,un,0,un-acceptably
initiate,-,1,-
demulsify,de,0,de-mulsify
conditioned,-,1,-
indiscreet,in,0,in-discreet
infallibility,in,0,in-fallibility
disesteem,dis,0,dis-esteem
fastened,-,1,-
undesirous,un,0,un-desirous
resentful,-,1,-
divergent_thinking,di,0,di-vergent_thinking
inaccurate,in,0,in-accurate
unimportance,un,0,un-importance
seeded,-,1,-
assigned,-,1,-
unaffected,un,0,un-affected
unadventurous,un,0,un-adventurous
radioactive,-,1,-
social,-,1,-
emotionality,-,1,-
nondrinker,non,0,non-drinker
isotropic,-,1,-
due,-,1,-
synchronizing,-,1,-
decrement,-,1,-
toothed,-,1,-
insurability,-,1,-
depersonalize,de,0,de-personalize
segregate,-,1,-
impure,im,0,im-pure
organic,-,1,-
properness,-,1,-
unalike,un,0,un-alike
conclusiveness,-,1,-
biodegradable_pollution,-,1,-
coherent,-,1,-
disinclined,dis,0,dis-inclined
weedy,-,1,-
arboreal,-,1,-
reverent,-,1,-
dissatisfaction,dis,0,dis-satisfaction
unconvinced,un,0,un-convinced
fueled,-,1,-
synchronism,-,1,-
hypercatalectic,hyper,0,hyper-catalectic
unpleasingness,un,0,un-pleasingness
pronounceable,-,1,-
reparable,-,1,-
sensible,-,1,-
visibility,-,1,-
unicameral,un,0,un-icameral
nontraditional,non,0,non-traditional
contamination,-,1,-
atomistic,a,0,a-tomistic
nonmetamorphic,non,0,non-metamorphic
hospitality,-,1,-
incomparable,in,0,in-comparable
unpriestly,un,0,un-priestly
disassortative_mating,dis,0,dis-assortative_mating
disobedience,dis,0,dis-obedience
uncommunicativeness,un,0,un-communicativeness
tune,-,1,-
unsanitary,un,0,un-sanitary
solved,-,1,-
ready,-,1,-
calced,-,1,-
detached,de,0,de-tached
ambitiously,-,1,-
superjacent,-,1,-
imperceptibility,im,0,im-perceptibility
imperfectibility,im,0,im-perfectibility
imprecision,im,0,im-precision
unusual,un,0,un-usual
irremediable,ir,0,ir-remediable
unforgiving,un,0,un-forgiving
improvident,im,0,im-provident
nonrepresentational,non,0,non-representational
wheelless,less,0,wheel-less
active,-,1,-
functioning,-,1,-
intolerable,in,0,in-tolerable
non-dedicated_file_server,non,0,non--dedicated_file_server
indestructible,in,0,in-destructible
unreactive,un,0,un-reactive
intangible,in,0,in-tangible
insoluble,in,0,in-soluble
processed,-,1,-
intemperance,in,0,in-temperance
associative,-,1,-
illicit,il,0,il-licit
equity,-,1,-
systematic,-,1,-
persuade,-,1,-
healthful,-,1,-
afraid,-,1,-
propitious,-,1,-
unscrupulousness,un,0,un-scrupulousness
unmalicious,un,0,un-malicious
untruthfully,un,0,un-truthfully
energize,-,1,-
invariableness,in,0,in-variableness
unprofitable,un,0,un-profitable
technical,-,1,-
allow,-,1,-
approachability,-,1,-
equality,-,1,-
chromatinic,-,1,-
unlaureled,un,0,un-laureled
unalarming,un,0,un-alarming
unpalatability,un,0,un-palatability
hearten,-,1,-
soluble,-,1,-
understock,under,0,under-stock
inhabited,-,1,-
enthusiastic,-,1,-
unbreakableness,un,0,un-breakableness
decolonise,de,0,de-colonise
unperplexed,un,0,un-perplexed
armed,-,1,-
efficiently,-,1,-
inhospitableness,in,0,in-hospitableness
unenthusiastically,un,0,un-enthusiastically
manned,-,1,-
obtrusiveness,-,1,-
unbolt,un,0,un-bolt
unemployed,un,0,un-employed
grammatical,-,1,-
being,-,1,-
dissociate,dis,0,dis-sociate
practicableness,-,1,-
