,word,neg_score,pos_score,label,gpt4,thinh,yulia
59,uninquiring,0.0,0.0,2,0,2.0,
60,unfortunately,0.875,0.0,0,0,0.0,
61,disproportionate,0.0,0.0,2,0,0.0,
62,nonmetallic,0.75,0.0,0,2,2.0,
63,unorganized,0.75,0.0,0,0,0.0,
64,unhitch,0.0,0.0,2,2,2.0,
65,unscrew,0.0,0.0,2,2,2.0,
66,uncommon,0.25,0.5,2,2,2.0,
67,unbutton,0.0,0.0,2,2,2.0,
68,noncitizen,0.0,0.0,2,2,2.0,
69,handleless,0.0,0.0,2,2,2.0,
70,indeterminable,0.625,0.125,0,2,2.0,
71,moonless,0.0,0.0,2,2,2.0,
72,nonimitative,0.75,0.0,0,2,2.0,
73,unstableness,0.25,0.375,2,0,0.0,
74,inhospitably,0.0,0.25,2,0,0.0,
75,unlike,0.0,0.0,2,2,2.0,
76,unmilitary,0.75,0.0,0,2,2.0,
77,effortlessness,0.625,0.125,0,1,1.0,
78,uncared-for,0.125,0.125,2,0,0.0,
79,fearlessness,0.75,0.125,0,1,1.0,
80,anticlinal,0.0,0.0,2,2,2.0,
81,inviolable,0.375,0.125,2,1,2.0,
82,insentience,0.25,0.125,2,2,2.0,
83,hairlessness,0.0,0.0,2,2,2.0,
84,impurity,0.0,0.125,2,0,0.0,
85,insensibility,0.75,0.0,0,0,0.0,
86,unhealthy,0.75,0.0,0,0,0.0,
87,nonphotosynthetic,0.125,0.0,2,2,2.0,
88,decompression,0.0,0.0,2,2,2.0,
89,intransitively,0.0,0.25,2,2,2.0,
90,ungathered,0.625,0.0,0,2,2.0,
91,untalented,0.0,0.375,1,0,0.0,
92,disagreement,0.0,0.125,2,0,0.0,
93,unaltered,0.0,0.0,2,2,2.0,
94,tubeless,0.625,0.0,0,2,2.0,
95,extrasensory,0.0,0.0,2,2,2.0,
96,unquietly,0.0,0.0,2,0,2.0,
97,undervalue,0.0,0.0,2,0,0.0,
98,noncivilized,0.0,0.0,2,0,0.0,
99,disloyal,0.0,0.0,2,0,0.0,
100,inhumane,0.0,0.0,2,0,0.0,
101,inconsiderate,0.0,0.0,2,0,0.0,
102,indecently,0.25,0.0,2,0,0.0,
103,untimeliness,0.25,0.0,2,0,0.0,
104,irregularly,0.0,0.0,2,2,2.0,
105,unnaturalness,0.875,0.0,0,0,0.0,
106,unmanageably,0.0,0.0,2,0,0.0,
107,unreliable,0.875,0.0,0,0,0.0,
108,undetermined,0.625,0.0,0,2,0.0,
109,unrealistic,0.75,0.0,0,0,0.0,
110,undrinkable,0.5,0.25,2,0,0.0,
111,inedible,0.75,0.25,0,0,0.0,
112,atypically,0.0,0.25,2,2,2.0,
113,inculpatory,0.0,0.0,2,0,0.0,
114,unpresidential,0.125,0.0,2,0,0.0,
115,untouched,0.5,0.0,0,2,2.0,
116,impiety,0.25,0.375,2,0,0.0,
117,unbreakable,0.625,0.0,0,1,1.0,
118,incomprehension,0.625,0.25,0,0,0.0,
119,unreal,0.0,0.0,2,2,2.0,
120,uneventful,0.375,0.25,2,2,2.0,
121,insectivorous,0.0,0.0,2,2,2.0,
122,inaudibility,0.5,0.25,2,2,2.0,
123,unsarcastic,0.625,0.0,0,2,2.0,
124,discourteously,0.0,0.25,2,0,0.0,
125,inextinguishable,0.875,0.0,0,2,2.0,
126,unbodied,0.25,0.0,2,2,2.0,
127,off-street,0.0,0.0,2,2,2.0,
128,disengage,0.0,0.0,2,2,2.0,
129,unsaponified,0.375,0.25,2,2,2.0,
130,inoperable,0.75,0.0,0,0,0.0,
131,inexpedience,0.25,0.375,2,0,0.0,
132,incorporeality,0.625,0.0,0,2,2.0,
133,unstoppable,0.625,0.0,0,1,1.0,
134,incapable,0.125,0.125,2,0,0.0,
135,inappropriate,0.0,0.0,2,0,0.0,
136,unframed,0.625,0.0,0,2,2.0,
137,impermanent,0.0,0.0,2,2,2.0,
138,unsteadiness,0.5,0.0,0,0,0.0,
139,denitrify,0.0,0.0,2,2,2.0,
140,unforgivably,0.0,0.0,2,0,0.0,
141,insomnia,0.75,0.0,0,0,0.0,
142,disembark,0.0,0.0,2,2,2.0,
143,inanimateness,0.625,0.0,0,2,2.0,
144,inelegance,0.125,0.625,1,0,0.0,
145,unfavorably,0.125,0.125,2,0,0.0,
146,disarm,0.0,0.0,2,2,2.0,
147,unreliably,0.0,0.25,2,0,0.0,
148,demagnetise,0.0,0.0,2,2,2.0,
149,inattentiveness,0.0,0.0,2,0,0.0,
150,dedifferentiate,0.0,0.0,2,2,2.0,
151,tactless,0.0,0.0,2,0,0.0,
152,unconstricted,0.5,0.125,0,2,1.0,
153,hypertrophied,0.0,0.0,2,2,2.0,
154,unclog,0.0,0.0,2,2,2.0,
155,immodesty,0.25,0.0,2,0,0.0,
156,unextended,0.75,0.0,0,2,2.0,
157,unpopularity,0.125,0.375,2,0,0.0,
158,nonprescription,0.0,0.0,2,2,2.0,
159,unadjusted,0.625,0.0,0,2,2.0,
160,noninstitutionalized,0.0,0.0,2,2,2.0,
161,disbelieve,0.0,0.0,2,0,0.0,
162,distrustful,0.0,0.0,2,0,0.0,
163,invariable,0.625,0.0,0,2,2.0,
164,discolor,0.0,0.0,2,0,2.0,
165,disreputably,0.0,0.125,2,0,0.0,
166,intolerant,0.0,0.0,2,0,0.0,
167,implausible,0.375,0.25,2,0,0.0,
168,unthinkable,0.625,0.0,0,0,0.0,
169,unappendaged,0.625,0.0,0,2,2.0,
170,unnoticeable,0.625,0.0,0,2,2.0,
171,discouragingly,0.0,0.125,2,0,0.0,
172,hypercatalectic,0.0,0.0,2,2,2.0,
173,intangibility,0.375,0.375,2,2,2.0,
174,unleavened,0.0,0.0,2,2,2.0,
175,uninviting,0.0,0.0,2,0,0.0,
176,unfortunate,0.25,0.0,2,0,0.0,
177,no-go,0.75,0.0,0,0,0.0,
178,incorrect,0.0,0.0,2,0,0.0,
179,juiceless,0.0,0.0,2,0,2.0,
180,understate,0.0,0.0,2,2,2.0,
181,nonintervention,0.125,0.0,2,2,2.0,
182,unposed,0.75,0.0,0,2,2.0,
183,demulsify,0.0,0.0,2,2,2.0,
184,downtick,0.0,0.0,2,0,0.0,
185,unpublished,0.125,0.0,2,2,2.0,
186,unpriestly,0.0,0.0,2,0,2.0,
187,decode,0.0,0.0,2,2,2.0,
188,untreated,0.875,0.0,0,0,0.0,
189,incontestable,0.625,0.0,0,1,1.0,
190,incoordination,0.625,0.0,0,0,0.0,
191,uncertainty,0.0,0.0,2,0,0.0,
192,abranchiate,0.0,0.0,2,2,2.0,
193,unobtrusiveness,0.625,0.125,0,2,1.0,
194,immeasurably,0.0,0.0,2,2,2.0,
195,uncompartmented,0.75,0.0,0,2,2.0,
196,ill-defined,0.125,0.375,2,0,0.0,
197,unpermissiveness,0.625,0.25,0,0,0.0,
198,hipless,0.0,0.0,2,2,2.0,
199,nonpsychoactive,0.75,0.0,0,2,2.0,
200,unappreciatively,0.0,0.25,2,0,0.0,
201,imperfect,0.0,0.0,2,0,0.0,
202,disenfranchise,0.0,0.0,2,0,0.0,
203,achondritic,0.0,0.0,2,2,2.0,
204,inauspiciously,0.0,0.25,2,0,0.0,
205,unsuitability,0.25,0.5,2,0,0.0,
206,unprecedentedly,0.0,0.25,2,2,2.0,
207,nonclassical,0.125,0.0,2,2,2.0,
208,unpronounceable,0.625,0.125,0,2,2.0,
209,ungenerous,0.25,0.375,2,0,0.0,
210,infelicitous,0.75,0.0,0,0,0.0,
211,irreducible,0.625,0.0,0,2,2.0,
212,infidelity,0.375,0.5,2,0,0.0,
213,unalterability,0.625,0.125,0,2,2.0,
214,malnourished,0.0,0.0,2,0,0.0,
215,noncritical,0.5,0.0,0,2,2.0,
216,unprofitable,0.625,0.0,0,0,0.0,
217,incurable,0.0,0.5,1,0,0.0,
218,inerrancy,0.375,0.25,2,2,2.0,
219,out-basket,0.0,0.0,2,2,2.0,
220,inapplicability,0.0,0.125,2,2,2.0,
221,uninspiring,0.0,0.0,2,0,0.0,
222,unnoticed,0.125,0.0,2,2,2.0,
223,nonbearing,0.0,0.0,2,2,2.0,
224,infeasibility,0.625,0.125,0,0,0.0,
225,immobile,0.0,0.0,2,2,2.0,
226,outdoors,0.0,0.0,2,2,2.0,
227,untraveled,0.625,0.0,0,2,2.0,
228,unconfirmed,0.625,0.0,0,2,2.0,
229,unscripted,0.625,0.0,0,2,2.0,
230,unsmilingly,0.0,0.25,2,0,0.0,
231,revealing,0.0,0.0,2,2,2.0,
232,unchain,0.0,0.0,2,2,2.0,
233,nonalignment,0.125,0.0,2,2,2.0,
234,undignified,0.25,0.0,2,0,0.0,
235,extraordinariness,0.375,0.5,2,1,1.0,
236,nonexempt,0.0,0.0,2,2,2.0,
237,inattentive,0.375,0.25,2,0,0.0,
238,unwire,0.0,0.0,2,2,2.0,
239,dysphoric,0.0,0.0,2,0,0.0,
240,trackless,0.0,0.0,2,2,2.0,
241,informality,0.25,0.375,2,2,2.0,
242,contraindication,0.0,0.0,2,0,2.0,
243,unsolvability,0.625,0.0,0,0,0.0,
244,unreported,0.125,0.0,2,2,2.0,
245,unintelligently,0.0,0.25,2,0,0.0,
246,immeasurable,0.375,0.125,2,2,2.0,
247,deflate,0.0,0.0,2,0,2.0,
248,unpleasantness,0.25,0.0,2,0,0.0,
249,untruthful,0.625,0.0,0,0,0.0,
250,unstable,0.375,0.25,2,0,0.0,
251,unofficially,0.0,0.0,2,2,2.0,
252,unplug,0.0,0.0,2,2,2.0,
253,unbelt,0.0,0.0,2,2,2.0,
254,unbeneficed,0.625,0.0,0,0,0.0,
255,unassertive,0.0,0.625,1,0,2.0,
256,unmask,0.0,0.0,2,2,2.0,
257,undercharge,0.5,0.0,0,1,0.0,
258,extraordinary,0.0,0.625,1,1,1.0,
259,insubordinate,0.0,0.0,2,0,0.0,
260,unhook,0.0,0.0,2,2,2.0,
261,disorder,0.375,0.0,0,0,0.0,
262,tastelessly,0.625,0.0,0,0,0.0,
263,improperness,0.5,0.0,0,0,0.0,
264,unquestionable,0.25,0.0,2,1,2.0,
265,undelineated,0.625,0.0,0,2,0.0,
266,deregulate,0.0,0.0,2,2,2.0,
267,infiniteness,0.75,0.0,0,2,2.0,
268,inauspicious,0.889,0.111,0,0,0.0,
269,neckless,0.0,0.0,2,2,2.0,
270,uncrate,0.0,0.0,2,2,2.0,
271,unfair,0.0,0.0,2,0,0.0,
272,uncollected,0.625,0.0,0,2,2.0,
273,inaudibly,0.0,0.25,2,2,2.0,
274,discontentment,0.0,0.125,2,0,0.0,
275,unsure,0.0,0.0,2,0,0.0,
276,unexploited,0.625,0.0,0,2,2.0,
277,incomprehensibility,0.375,0.375,2,2,2.0,
278,intense,0.0,0.0,2,2,2.0,
279,hypoparathyroidism,0.625,0.0,0,2,2.0,
280,imperceptibly,0.0,0.0,2,2,2.0,
281,unwillingly,0.125,0.0,2,0,0.0,
282,unoriginality,0.375,0.125,2,0,0.0,
283,unconsummated,0.0,0.0,2,2,2.0,
284,unkind,0.0,0.0,2,0,0.0,
285,unaffectedness,0.0,0.625,1,2,2.0,
286,unclutter,0.0,0.0,2,1,1.0,
287,unchristian,0.625,0.0,0,0,0.0,
288,impropriety,0.5,0.0,0,0,0.0,
289,uncomplaining,0.0,0.0,2,1,2.0,
290,unconquerable,0.75,0.125,0,1,2.0,
291,ungraciousness,0.444,0.556,2,0,0.0,
292,undrained,0.125,0.0,2,2,2.0,
293,disordered,0.0,0.0,2,0,0.0,
294,bottomless,0.0,0.0,2,2,2.0,
295,nonarboreal,0.0,0.0,2,2,2.0,
296,uncharacteristic,0.0,0.0,2,2,2.0,
297,uncleared,0.5,0.0,0,0,0.0,
298,unspell,0.0,0.0,2,2,2.0,
299,unobstructed,0.0,0.5,1,1,1.0,
300,disembarrassment,0.5,0.0,0,2,2.0,
301,unwholesome,0.75,0.125,0,0,0.0,
302,disobedience,0.0,0.125,2,0,0.0,
303,nonworker,0.0,0.0,2,2,2.0,
304,unarticulated,0.625,0.0,0,2,0.0,
305,atypical,0.75,0.0,0,2,2.0,
306,nonthermal,0.25,0.0,2,2,2.0,
307,unalike,0.0,0.0,2,2,2.0,
308,unbuttoned,0.125,0.0,2,2,2.0,
309,disenchant,0.0,0.0,2,0,2.0,
310,acatalectic,0.0,0.125,2,2,2.0,
311,unready,0.5,0.125,0,0,0.0,
312,nonstandard,0.0,0.0,2,2,2.0,
313,unproved,0.125,0.25,2,2,2.0,
314,unfruitful,0.75,0.0,0,0,0.0,
315,smokeless,0.0,0.0,2,2,2.0,
316,unequipped,0.5,0.125,0,0,0.0,
317,unprocessed,0.75,0.0,0,2,2.0,
318,demerit,0.0,0.0,2,0,0.0,
319,discontented,0.0,0.0,2,0,0.0,
320,inconsequence,0.5,0.25,2,0,0.0,
321,nonconformity,0.5,0.125,0,2,2.0,
322,disavow,0.0,0.0,2,0,2.0,
323,unaddicted,0.125,0.0,2,2,2.0,
324,undetected,0.5,0.25,2,2,2.0,
325,mercilessness,0.5,0.375,2,0,0.0,
326,indirect,0.0,0.0,2,2,2.0,
327,outspan,0.0,0.0,2,2,2.0,
328,disorganize,0.0,0.0,2,0,0.0,
329,unscramble,0.0,0.0,2,2,2.0,
330,unobligated,0.25,0.0,2,2,2.0,
331,disreputability,0.25,0.75,1,0,0.0,
332,inferiority,0.5,0.125,0,0,0.0,
333,indigestible,0.625,0.0,0,0,0.0,
334,inexperience,0.0,0.125,2,0,0.0,
335,unspaced,0.0,0.0,2,2,2.0,
336,demotion,0.0,0.0,2,0,0.0,
337,unseductive,0.25,0.0,2,0,0.0,
338,inexcusably,0.0,0.0,2,0,0.0,
339,indistinct,0.0,0.0,2,2,2.0,
340,improvident,0.0,0.0,2,0,0.0,
341,unregistered,0.625,0.0,0,2,2.0,
342,intradepartmental,0.0,0.0,2,2,2.0,
343,unexpired,0.625,0.0,0,2,2.0,
344,injustice,0.0,0.0,2,0,0.0,
345,immoderation,0.625,0.25,0,0,0.0,
346,immobility,0.0,0.0,2,2,2.0,
347,unwaxed,0.25,0.0,2,2,2.0,
348,illicit,0.0,0.0,2,0,0.0,
349,dysphemism,0.5,0.0,0,2,0.0,
350,demobilize,0.0,0.0,2,2,2.0,
351,unpainted,0.5,0.0,0,2,2.0,
352,indecorum,0.5,0.25,2,0,0.0,
353,unethical,0.75,0.0,0,0,0.0,
354,unsympathetically,0.0,0.25,2,0,0.0,
355,ineffectiveness,0.25,0.125,2,0,0.0,
356,nonexistence,0.125,0.0,2,0,0.0,
357,uninfluential,0.125,0.0,2,0,0.0,
358,syncategorematic,0.375,0.0,0,2,2.0,
359,nonlinear,0.5,0.0,0,2,2.0,
360,supernal,0.0,0.25,2,1,1.0,
361,insecurely,0.0,0.125,2,0,0.0,
362,inconsequentially,0.125,0.0,2,2,2.0,
363,unscientific,0.625,0.0,0,0,0.0,
364,unseasonable,0.625,0.0,0,0,0.0,
365,unbar,0.0,0.0,2,2,2.0,
366,irremovable,0.5,0.0,0,2,2.0,
367,inauspiciousness,0.625,0.0,0,0,0.0,
368,underachievement,0.0,0.125,2,0,0.0,
369,immovability,0.5,0.0,0,2,2.0,
370,unfledged,0.375,0.0,0,2,0.0,
371,nondrinker,0.0,0.0,2,2,2.0,
372,nonreturnable,0.125,0.25,2,0,0.0,
373,backless,0.0,0.0,2,2,2.0,
374,uncertain,0.125,0.25,2,0,0.0,
375,incompetent,0.625,0.0,0,0,0.0,
376,imperfectibility,0.0,0.25,2,0,0.0,
377,syncategorem,0.375,0.125,2,2,2.0,
378,uninstructively,0.125,0.0,2,0,0.0,
379,noncompetitive,0.75,0.0,0,2,2.0,
380,unloaded,0.625,0.0,0,2,2.0,
381,unactable,0.125,0.25,2,0,2.0,
382,unsociability,0.0,0.5,1,0,0.0,
383,unsentimentally,0.0,0.25,2,2,2.0,
384,unfretted,0.125,0.125,2,2,2.0,
385,unemployable,0.75,0.0,0,0,0.0,
386,noninheritable,0.25,0.0,2,2,2.0,
387,miscarry,0.0,0.0,2,0,0.0,
388,inexperienced,0.0,0.25,2,0,0.0,
389,dethrone,0.0,0.0,2,0,2.0,
390,incomparable,0.25,0.375,2,1,2.0,
391,distributive,0.0,0.0,2,2,2.0,
392,divest,0.0,0.0,2,2,2.0,
393,nonmember,0.0,0.0,2,2,2.0,
394,unburden,0.0,0.0,2,1,1.0,
395,inappropriately,0.125,0.125,2,0,0.0,
396,disqualify,0.0,0.0,2,0,0.0,
397,nonequivalence,0.25,0.0,2,2,2.0,
398,impotent,0.0,0.0,2,0,0.0,
399,unobvious,0.25,0.0,2,2,2.0,
400,unprofitableness,0.625,0.125,0,0,0.0,
401,dysphoria,0.75,0.0,0,0,0.0,
402,unenterprising,0.0,0.0,2,0,0.0,
403,uncontroversially,0.0,0.0,2,2,2.0,
404,disarming,0.0,0.0,2,1,1.0,
405,nonhierarchical,0.0,0.0,2,2,2.0,
406,unnaturally,0.0,0.0,2,2,2.0,
407,unshod,0.0,0.0,2,2,2.0,
408,immortality,0.375,0.25,2,2,2.0,
409,unfriendly,0.0,0.0,2,0,0.0,
410,unprotective,0.375,0.0,0,0,0.0,
411,destabilization,0.0,0.0,2,0,0.0,
412,unpleasant,0.625,0.125,0,0,0.0,
413,unpremeditated,0.5,0.0,0,2,0.0,
414,unplayable,0.625,0.125,0,0,0.0,
415,undefeated,0.0,0.5,1,1,1.0,
416,intransitive,0.5,0.0,0,2,2.0,
417,hypokalemia,0.5,0.0,0,2,0.0,
418,insignificant,0.0,0.0,2,0,0.0,
419,painless,0.0,0.0,2,1,1.0,
420,detribalisation,0.0,0.0,2,2,2.0,
421,disproportionately,0.0,0.0,2,2,2.0,
422,nonpayment,0.0,0.0,2,0,0.0,
423,unrequested,0.5,0.0,0,2,2.0,
424,insatiate,0.0,0.0,2,0,2.0,
425,impolitic,0.625,0.125,0,0,0.0,
426,undiplomatic,0.75,0.0,0,0,0.0,
427,dishearten,0.0,0.0,2,0,0.0,
428,unequally,0.0,0.125,2,0,0.0,
429,unsaddled,0.0,0.0,2,2,2.0,
430,misbehave,0.0,0.0,2,0,0.0,
431,unmoved,0.25,0.25,2,0,0.0,
432,disagreeable,0.875,0.125,0,0,0.0,
433,unresponsive,0.75,0.0,0,0,0.0,
434,unemotional_person,0.25,0.5,2,2,2.0,
435,incongruous,0.375,0.375,2,0,0.0,
436,unrevived,0.125,0.0,2,0,2.0,
437,inaptitude,0.375,0.375,2,0,0.0,
438,innumerate,0.0,0.0,2,0,0.0,
439,indirectly,0.75,0.0,0,2,2.0,
440,nonfinancial,0.5,0.0,0,2,2.0,
441,implode,0.0,0.0,2,0,0.0,
442,purposelessness,0.0,0.625,1,0,0.0,
443,nonindustrial,0.5,0.125,0,2,2.0,
444,noncurrent,0.0,0.0,2,2,2.0,
445,incredible,0.0,0.0,2,1,1.0,
446,non-involvement,0.0,0.0,2,2,2.0,
447,imperviousness,0.375,0.5,2,2,2.0,
448,unimpressive,0.5,0.125,0,0,0.0,
449,disorganized,0.0,0.0,2,0,0.0,
450,inhibitor,0.0,0.0,2,2,2.0,
451,undemanding,0.0,0.0,2,1,1.0,
452,unswept,0.75,0.0,0,0,0.0,
453,dissuade,0.0,0.0,2,0,0.0,
454,unsupported,0.75,0.0,0,0,0.0,
455,unspecified,0.625,0.0,0,2,2.0,
456,unselfish,0.125,0.375,2,1,1.0,
457,maladjusted,0.0,0.0,2,0,0.0,
458,subsonic,0.0,0.0,2,2,2.0,
459,divergent,0.0,0.0,2,2,2.0,
460,decentralizing,0.0,0.0,2,2,2.0,
461,inactive,0.625,0.0,0,2,0.0,
462,inconspicuousness,0.25,0.5,2,2,2.0,
463,weedless,0.0,0.0,2,2,2.0,
464,incongruent,0.0,0.0,2,2,2.0,
465,invisibility,0.625,0.125,0,2,2.0,
466,nonracial,0.0,0.0,2,2,2.0,
467,hypertonic,0.0,0.0,2,2,2.0,
468,unpotted,0.625,0.0,0,2,2.0,
469,incompatibility,0.25,0.0,2,0,0.0,
470,unnecessarily,0.0,0.375,1,0,0.0,
471,indiscipline,0.375,0.0,0,0,0.0,
472,unmanned,0.25,0.0,2,2,2.0,
473,tongueless,0.0,0.0,2,2,2.0,
474,unwanted,0.25,0.0,2,0,0.0,
475,dishonorableness,0.75,0.125,0,0,0.0,
476,disoblige,0.0,0.0,2,0,0.0,
477,illegal,0.0,0.0,2,0,0.0,
478,meaninglessness,0.0,0.0,2,0,0.0,
479,unadoptable,0.0,0.0,2,0,0.0,
480,unplowed,0.0,0.25,2,2,2.0,
481,unparented,0.5,0.0,0,0,0.0,
482,undependable,0.75,0.0,0,0,0.0,
483,hatless,0.0,0.0,2,2,2.0,
484,unearned_run,0.125,0.0,2,2,2.0,
485,acaulescent,0.0,0.0,2,2,2.0,
486,non-engagement,0.0,0.0,2,0,0.0,
487,unstained,0.25,0.0,2,2,2.0,
488,uncharacteristically,0.0,0.25,2,2,2.0,
489,undeniable,0.875,0.0,0,2,2.0,
490,uninformatively,0.125,0.0,2,0,0.0,
491,depressurize,0.0,0.0,2,2,2.0,
492,topless,0.0,0.0,2,2,2.0,
493,unbridle,0.0,0.0,2,2,2.0,
494,discomfort,0.25,0.0,2,0,0.0,
495,unkindly,0.125,0.625,1,0,0.0,
496,achromatinic,0.0,0.0,2,2,2.0,
497,untrustworthiness,0.75,0.0,0,0,0.0,
498,unsusceptible,0.75,0.125,0,2,2.0,
499,detribalization,0.0,0.0,2,2,2.0,
500,irresolutely,0.125,0.0,2,2,2.0,
501,noninterference,0.125,0.0,2,2,2.0,
502,divergent_thinking,0.0,0.0,2,2,2.0,
503,inferior,0.75,0.0,0,0,0.0,
504,nondisposable,0.0,0.125,2,2,2.0,
505,unbraid,0.0,0.0,2,2,2.0,
506,cheerlessness,0.75,0.125,0,0,0.0,
507,impermissibly,0.125,0.0,2,0,2.0,
508,indecorousness,0.5,0.25,2,0,0.0,
509,destabilise,0.0,0.0,2,0,0.0,
510,unexpectedness,0.25,0.5,2,2,2.0,
511,imprudence,0.0,0.375,1,0,0.0,
512,maladroitly,0.0,0.5,1,0,0.0,
513,unmalleability,0.5,0.0,0,2,0.0,
514,unawed,0.125,0.0,2,2,2.0,
515,insufficiency,0.625,0.375,2,0,0.0,
516,immoral,0.75,0.125,0,0,0.0,
517,unclothed,0.125,0.125,2,2,2.0,
518,unveiled,0.0,0.0,2,2,2.0,
519,seedless,0.0,0.0,2,2,2.0,
520,inelegantly,0.0,0.0,2,0,0.0,
521,ineffectually,0.0,0.25,2,0,0.0,
522,unfaithful,0.625,0.0,0,0,0.0,
523,noncommissioned,0.0,0.0,2,2,2.0,
524,unsupportive,0.625,0.0,0,0,0.0,
525,inactivate,0.0,0.0,2,2,2.0,
526,unhealthfulness,0.556,0.444,2,0,0.0,
527,malignancy,0.5,0.125,0,0,0.0,
528,desynchronizing,0.0,0.0,2,2,2.0,
529,desalinate,0.0,0.0,2,2,2.0,
530,malodorous,0.875,0.0,0,0,0.0,
531,supersonic,0.0,0.0,2,2,2.0,
532,uninstructive,0.375,0.125,2,0,0.0,
533,unemotionally,0.0,0.25,2,2,2.0,
534,wigless,0.0,0.0,2,2,2.0,
535,subsurface,0.0,0.0,2,2,2.0,
536,inland,0.0,0.0,2,2,2.0,
537,indispensability,0.375,0.375,2,2,2.0,
538,undefined,0.375,0.25,2,2,2.0,
539,malfunctioning,0.0,0.0,2,0,0.0,
540,uncompromising,0.0,0.0,2,2,2.0,
541,misused,0.0,0.0,2,0,0.0,
542,disapprovingly,0.125,0.125,2,0,0.0,
543,uncomplimentary,0.5,0.125,0,0,0.0,
544,irresistible,0.625,0.0,0,1,1.0,
545,unregenerate,0.0,0.0,2,0,0.0,
546,unmusically,0.0,0.25,2,2,2.0,
547,invariableness,0.5,0.0,0,2,2.0,
548,unsurprising,0.0,0.0,2,2,2.0,
549,undependableness,0.625,0.25,0,0,0.0,
550,unbalconied,0.5,0.0,0,2,2.0,
551,unqualified,0.0,0.0,2,0,0.0,
552,immaterial,0.625,0.0,0,0,0.0,
553,illegitimate,0.125,0.0,2,0,0.0,
554,nonbiodegradable_pollution,0.0,0.0,2,0,0.0,
555,untroubled,0.625,0.0,0,1,1.0,
556,nonwoody,0.0,0.0,2,2,2.0,
557,inaptness,0.0,0.75,1,0,0.0,
558,malfunction,0.0,0.0,2,0,0.0,
559,nonwashable,0.25,0.25,2,0,0.0,
560,immateriality,0.0,0.625,1,2,2.0,
561,immutableness,0.5,0.125,0,2,2.0,
562,irreparable,0.5,0.0,0,0,0.0,
563,inconclusiveness,0.375,0.5,2,2,2.0,
564,nonharmonic,0.25,0.0,2,2,2.0,
565,thoughtlessness,0.5,0.375,2,0,0.0,
566,inconclusively,0.125,0.0,2,2,2.0,
567,unreserved,0.125,0.0,2,2,2.0,
568,nonpasserine,0.0,0.0,2,2,2.0,
569,devitalize,0.0,0.0,2,0,0.0,
